구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2019년09월01일,1615.55,1496.44,1483.14,1514.57,1484.38,1511.89,1487.47,1521.58,1514.26,1508.02,1508.01,1491.27,1493.92,1491.57,1487.21,1593.94,1504.85
2019년09월02일,1622.40,1502.99,1486.68,1520.29,1490.67,1517.63,1492.92,1529.14,1517.77,1512.69,1514.42,1497.85,1497.87,1498.26,1494.83,1595.71,1510.96
2019년09월03일,1625.31,1508.95,1489.31,1522.71,1493.99,1519.73,1496.28,1532.67,1520.91,1516.16,1518.10,1500.49,1500.93,1502.02,1498.20,1594.92,1515.20
2019년09월04일,1626.68,1510.59,1489.49,1527.05,1494.85,1519.98,1500.46,1534.02,1523.39,1517.43,1520.52,1502.03,1502.99,1503.94,1500.07,1593.05,1519.17
2019년09월05일,1626.95,1510.68,1489.32,1528.70,1494.68,1519.98,1501.08,1534.36,1524.55,1518.48,1522.35,1502.24,1504.46,1505.01,1500.99,1592.56,1520.73
2019년09월06일,1626.73,1510.41,1489.99,1529.17,1495.90,1519.85,1502.61,1534.73,1524.87,1519.30,1523.56,1502.53,1505.61,1505.88,1501.38,1612.38,1522.28
2019년09월07일,1626.56,1510.63,1490.25,1528.88,1496.13,1520.33,1503.38,1534.38,1525.77,1519.98,1524.21,1502.75,1505.97,1506.15,1502.08,1613.46,1521.34
2019년09월08일,1627.06,1510.34,1490.52,1529.56,1496.31,1520.40,1504.01,1534.74,1526.29,1520.42,1524.67,1502.87,1506.40,1506.37,1502.27,1614.42,1521.34
2019년09월09일,1627.32,1508.82,1490.89,1529.86,1496.25,1520.08,1502.91,1535.00,1526.65,1521.66,1525.29,1502.97,1507.46,1506.62,1502.12,1614.07,1522.30
2019년09월10일,1627.24,1509.14,1491.39,1530.30,1496.94,1520.70,1504.26,1534.86,1527.19,1522.16,1525.97,1503.22,1508.03,1507.30,1502.43,1614.80,1523.41
2019년09월11일,1627.89,1509.13,1493.08,1530.41,1497.73,1521.16,1504.23,1535.34,1528.11,1522.88,1527.15,1504.24,1509.18,1507.66,1502.75,1615.16,1525.17
2019년09월12일,1627.61,1509.37,1493.77,1530.59,1498.49,1521.67,1504.84,1535.88,1529.06,1524.65,1528.30,1505.27,1510.40,1508.82,1503.37,1615.37,1525.73
2019년09월13일,1627.82,1509.41,1494.22,1531.00,1499.10,1521.98,1504.99,1536.19,1529.71,1524.99,1529.05,1505.74,1510.63,1509.24,1503.67,1615.32,1526.04
2019년09월14일,1626.98,1509.56,1494.35,1531.24,1499.55,1522.13,1505.48,1536.26,1529.86,1525.14,1528.89,1505.72,1510.93,1509.49,1503.77,1615.46,1526.04
2019년09월15일,1626.36,1509.16,1494.38,1531.35,1499.62,1522.12,1505.33,1536.45,1529.70,1525.43,1528.70,1505.57,1511.45,1509.64,1503.56,1615.75,1526.66
2019년09월16일,1628.39,1510.03,1496.06,1531.61,1501.09,1525.25,1506.89,1537.33,1530.98,1526.56,1530.42,1506.71,1511.90,1510.31,1504.41,1616.08,1527.48
