구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2019년01월01일,1839.55,1718.77,1683.02,1652.97,1645.96,1682.19,1626.30,1715.41,1695.19,1719.84,1725.32,1693.21,1676.15,1709.04,1710.81,1997.00,1794.00
2019년01월02일,1834.43,1717.33,1681.23,1651.75,1645.96,1680.50,1618.21,1713.83,1695.07,1717.92,1725.32,1691.47,1674.61,1709.04,1708.47,1997.00,1794.00
2019년01월03일,1828.89,1713.91,1676.46,1648.12,1639.76,1678.57,1616.28,1714.98,1692.76,1715.61,1722.08,1690.17,1667.69,1704.90,1713.27,1997.00,1807.66
2019년01월04일,1826.51,1707.45,1672.20,1634.76,1638.96,1670.11,1616.28,1711.13,1692.76,1712.15,1719.72,1687.13,1636.33,1703.47,1709.79,1997.00,1807.66
2019년01월05일,1825.19,1703.79,1673.74,1640.27,1636.96,1669.37,1610.50,1711.78,1686.38,1707.50,1716.08,1686.86,1630.16,1715.13,1708.39,1997.00,1801.00
2019년01월06일,1823.82,1703.30,1671.43,1645.65,1636.96,1669.74,1610.07,1710.50,1673.84,1707.80,1714.88,1686.86,1630.16,1715.13,1710.53,1997.00,1801.00
2019년01월07일,1824.15,1703.30,1672.58,1646.14,1636.96,1668.62,1610.07,1705.97,1673.84,1703.00,1743.53,1668.68,1628.50,1715.13,1706.61,1997.00,1801.00
2019년01월08일,1822.56,1701.88,1670.15,1651.64,1632.96,1667.18,1604.28,1702.33,1673.04,1700.04,1743.15,1665.04,1653.61,1714.22,1705.72,1997.00,1801.00
2019년01월09일,1820.12,1701.20,1669.53,1650.45,1621.92,1662.84,1593.57,1703.41,1671.84,1700.04,1742.73,1662.86,1651.53,1700.61,1697.52,1997.00,1784.00
2019년01월10일,1817.61,1698.09,1669.53,1651.21,1630.69,1661.30,1593.57,1705.18,1684.46,1698.04,1750.03,1662.69,1647.69,1700.61,1700.13,1997.00,1801.00
2019년01월11일,1816.56,1697.93,1668.41,1645.43,1625.69,1661.62,1593.57,1702.99,1692.29,1698.04,1749.29,1662.69,1647.84,1690.54,1697.81,1997.00,1801.00
2019년01월12일,1816.11,1698.48,1668.41,1645.92,1625.69,1660.19,1593.57,1701.78,1691.55,1696.04,1751.51,1662.69,1619.75,1690.09,1697.45,1997.00,1801.00
2019년01월13일,1816.49,1696.27,1667.20,1651.73,1625.69,1661.34,1593.57,1701.86,1679.69,1696.04,1709.24,1658.52,1619.75,1690.09,1692.63,1997.00,1801.00
2019년01월14일,1818.88,1696.17,1666.17,1651.73,1606.28,1656.00,1593.57,1698.20,1679.26,1697.24,1709.24,1658.52,1619.16,1697.28,1691.73,1858.00,1801.00
2019년01월15일,1815.81,1695.41,1665.64,1650.54,1605.08,1656.51,1592.14,1699.30,1667.64,1694.84,1709.44,1658.52,1617.50,1695.85,1691.97,1858.00,1801.00
2019년01월16일,1813.38,1695.01,1665.38,1653.78,1602.68,1656.51,1592.14,1696.67,1667.64,1695.64,1709.44,1658.52,1617.50,1695.95,1691.93,1858.00,1801.00
2019년01월17일,1815.47,1693.43,1664.20,1653.78,1599.84,1656.51,1590.71,1695.54,1667.04,1695.64,1709.44,1658.52,1617.50,1693.68,1691.06,1858.00,1801.00
2019년01월18일,1814.72,1691.82,1664.20,1654.54,1593.79,1654.51,1590.71,1693.20,1667.04,1695.64,1709.04,1658.52,1616.50,1693.68,1684.90,1858.00,1801.00
2019년01월19일,1816.79,1689.59,1664.20,1655.02,1593.79,1651.92,1590.71,1692.64,1667.04,1695.64,1713.04,1658.52,1616.50,1693.22,1684.90,1858.00,1801.00
2019년01월20일,1815.34,1689.59,1664.20,1654.54,1592.54,1651.92,1590.71,1692.19,1667.04,1695.64,1713.04,1658.52,1616.50,1684.39,1684.90,1858.00,1801.00
2019년01월21일,1813.61,1689.59,1664.20,1654.54,1592.54,1654.46,1590.71,1692.28,1666.28,1691.53,1713.04,1658.52,1616.50,1684.39,1684.78,1858.00,1801.00
2019년01월22일,1811.97,1689.42,1664.20,1653.35,1591.70,1656.11,1585.46,1691.13,1663.88,1691.53,1713.62,1658.52,1616.50,1684.39,1690.85,1858.00,1801.00
2019년01월23일,1812.08,1690.10,1664.20,1655.26,1588.58,1656.11,1585.46,1702.61,1663.88,1691.96,1712.79,1658.52,1616.50,1693.22,1689.66,1867.00,1834.66
2019년01월24일,1811.95,1690.61,1664.46,1656.33,1584.04,1656.11,1585.46,1700.84,1676.61,1691.96,1745.08,1658.52,1616.50,1683.08,1689.66,1867.00,1801.00
2019년01월25일,1810.87,1690.60,1664.46,1651.65,1580.24,1655.38,1586.23,1700.58,1679.61,1684.38,1744.28,1672.75,1616.50,1681.34,1689.92,1853.50,1801.00
