구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2019년09월01일,1474.48,1351.58,1337.14,1356.94,1339.32,1371.00,1353.71,1367.88,1376.74,1361.12,1364.06,1349.20,1354.22,1346.26,1345.79,1424.71,1367.09
2019년09월02일,1479.77,1356.61,1339.91,1361.09,1345.14,1375.82,1357.09,1374.17,1380.05,1365.43,1369.21,1354.59,1357.38,1351.45,1352.10,1426.13,1371.53
2019년09월03일,1481.44,1361.67,1342.08,1362.84,1349.11,1377.37,1360.60,1376.84,1382.13,1368.41,1372.25,1356.46,1359.85,1354.26,1354.44,1425.81,1376.25
2019년09월04일,1482.35,1362.04,1342.31,1366.89,1349.57,1377.87,1363.89,1377.77,1384.06,1369.29,1374.40,1357.98,1361.92,1355.88,1355.80,1424.77,1380.34
2019년09월05일,1482.82,1362.22,1341.83,1368.04,1349.89,1376.72,1363.91,1377.81,1385.08,1369.87,1375.55,1358.07,1363.45,1356.73,1356.51,1424.69,1381.75
2019년09월06일,1482.05,1362.16,1341.55,1368.11,1350.75,1377.07,1365.55,1377.94,1385.90,1370.54,1376.78,1358.43,1364.08,1357.42,1357.07,1457.01,1382.78
2019년09월07일,1482.07,1361.97,1341.81,1367.88,1351.17,1376.88,1365.92,1377.87,1386.00,1370.87,1377.01,1358.45,1364.39,1357.50,1357.11,1458.66,1382.68
2019년09월08일,1482.69,1361.53,1342.01,1367.78,1350.90,1376.98,1366.07,1377.98,1386.79,1371.25,1377.56,1358.68,1364.91,1357.66,1356.91,1459.28,1382.93
2019년09월09일,1482.53,1360.55,1342.34,1369.29,1351.77,1376.04,1365.18,1378.56,1387.06,1372.04,1377.86,1358.93,1365.46,1358.10,1357.09,1459.23,1383.53
2019년09월10일,1482.54,1360.04,1342.51,1368.75,1352.19,1377.16,1365.83,1378.23,1387.55,1373.17,1378.46,1359.11,1366.08,1358.40,1357.33,1460.05,1383.93
2019년09월11일,1482.60,1360.17,1343.71,1368.79,1352.45,1377.79,1365.97,1378.60,1388.57,1373.14,1379.51,1360.05,1367.64,1358.83,1357.66,1460.92,1384.73
2019년09월12일,1482.27,1360.10,1344.29,1368.65,1352.87,1378.10,1365.85,1378.58,1389.63,1374.77,1380.50,1360.88,1368.52,1359.56,1358.23,1461.18,1384.82
2019년09월13일,1482.50,1359.83,1344.54,1368.85,1353.51,1377.76,1365.94,1378.85,1389.97,1375.01,1380.69,1361.30,1368.83,1359.69,1358.65,1461.18,1385.53
2019년09월14일,1481.45,1360.38,1344.85,1369.10,1353.64,1377.89,1365.68,1378.92,1389.87,1374.84,1380.00,1361.30,1368.90,1359.85,1358.37,1461.36,1385.46
2019년09월15일,1480.80,1359.75,1344.63,1369.40,1353.67,1377.58,1365.73,1378.96,1389.78,1374.72,1379.59,1361.21,1368.97,1359.74,1358.19,1462.55,1386.08
2019년09월16일,1483.05,1361.07,1345.59,1369.41,1355.01,1380.04,1366.24,1379.88,1390.87,1375.34,1381.15,1361.97,1370.09,1360.50,1358.41,1463.73,1386.60
2019년09월17일,1486.73,1363.60,1349.49,1372.19,1358.85,1385.69,1368.11,1382.96,1393.03,1378.33,1383.57,1363.45,1371.20,1362.38,1360.94,1464.04,1387.76
2019년09월18일,1489.46,1365.90,1352.89,1376.20,1361.27,1389.16,1370.31,1385.17,1394.83,1381.01,1385.93,1364.81,1372.13,1364.35,1362.75,1464.30,1390.47
2019년09월19일,1492.04,1367.37,1354.09,1377.80,1361.56,1391.93,1371.35,1386.71,1396.26,1383.08,1387.59,1365.54,1373.77,1365.74,1364.57,1464.22,1393.49
2019년09월20일,1493.40,1368.23,1355.30,1380.58,1363.08,1393.99,1372.42,1388.36,1397.25,1384.50,1388.95,1366.33,1375.61,1367.24,1365.60,1464.50,1395.95
2019년09월21일,1493.72,1369.99,1355.32,1381.19,1363.20,1396.38,1372.68,1389.33,1399.35,1385.59,1390.40,1367.22,1376.12,1368.38,1366.39,1464.55,1396.22
2019년09월22일,1494.37,1369.56,1355.88,1381.11,1363.21,1396.25,1372.70,1390.09,1400.08,1386.22,1390.86,1367.35,1376.23,1368.26,1366.59,1464.63,1397.17
2019년09월23일,1494.86,1371.31,1356.87,1381.67,1364.68,1397.59,1374.58,1391.77,1400.85,1387.00,1391.61,1368.45,1377.22,1369.07,1367.79,1464.20,1398.76
2019년09월24일,1495.72,1371.43,1357.53,1382.47,1366.89,1398.85,1374.97,1393.27,1402.28,1387.73,1392.57,1369.09,1377.98,1369.29,1368.62,1464.61,1398.36
2019년09월25일,1496.28,1373.29,1358.45,1382.48,1367.22,1398.24,1376.29,1394.78,1403.56,1388.76,1393.39,1371.32,1378.95,1370.16,1369.28,1481.55,1399.06
2019년09월26일,1496.90,1373.23,1358.94,1384.09,1367.93,1398.65,1376.47,1395.42,1404.95,1389.36,1393.56,1373.38,1379.22,1370.58,1370.37,1484.35,1399.28
2019년09월27일,1496.80,1373.93,1359.52,1385.06,1369.57,1398.15,1376.76,1396.16,1405.24,1390.39,1393.70,1374.59,1379.65,1371.01,1370.72,1487.09,1399.59
2019년09월28일,1496.73,1374.16,1359.29,1385.14,1368.81,1397.83,1376.10,1396.23,1405.94,1390.58,1394.10,1375.38,1379.65,1371.23,1370.93,1487.55,1398.81
2019년09월29일,1497.03,1374.29,1359.44,1384.80,1369.09,1398.09,1376.22,1396.35,1406.00,1390.77,1394.39,1375.74,1379.80,1371.53,1371.04,1487.71,1398.81
2019년09월30일,1497.39,1374.16,1359.44,1386.33,1369.67,1397.66,1376.95,1397.04,1406.50,1391.26,1394.62,1376.53,1380.03,1371.89,1371.66,1487.71,1399.06
2019년10월01일,1497.17,1374.20,1359.82,1385.33,1369.88,1397.49,1377.67,1397.16,1407.31,1391.20,1394.81,1377.53,1380.31,1371.78,1372.91,1487.91,1399.67
2019년10월02일,1496.55,1373.80,1359.93,1384.89,1370.53,1396.93,1376.92,1396.73,1407.48,1391.20,1394.62,1377.59,1380.56,1372.04,1372.75,1487.55,1399.06
2019년10월03일,1496.04,1373.72,1359.65,1384.40,1371.04,1396.62,1377.05,1396.43,1407.91,1390.99,1394.52,1377.79,1380.63,1372.05,1373.08,1487.91,1399.37
