구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2019년10월04일,1494.15,1372.85,1359.43,1383.71,1370.74,1397.78,1376.91,1396.24,1407.47,1391.08,1394.42,1376.88,1380.78,1372.31,1373.36,1487.86,1399.37
2019년10월05일,1493.45,1371.94,1358.39,1383.24,1370.52,1396.98,1376.32,1395.39,1407.76,1390.72,1394.36,1376.49,1380.94,1372.11,1373.02,1487.53,1399.28
2019년10월06일,1493.53,1371.69,1358.54,1383.08,1369.88,1396.96,1375.97,1395.03,1407.95,1391.30,1393.93,1376.31,1380.82,1372.11,1372.98,1487.61,1399.53
2019년10월07일,1492.71,1371.61,1358.86,1382.81,1369.95,1395.75,1375.56,1394.95,1407.83,1391.09,1393.81,1375.90,1381.40,1372.29,1373.04,1487.71,1399.46
2019년10월08일,1491.94,1371.13,1358.60,1382.16,1369.55,1396.01,1375.33,1394.47,1407.72,1390.28,1393.61,1375.45,1381.43,1372.27,1373.05,1487.66,1399.84
2019년10월09일,1490.92,1370.80,1357.96,1381.77,1369.45,1394.89,1375.60,1393.90,1407.32,1390.34,1393.55,1374.92,1381.51,1372.00,1372.76,1487.66,1399.68
2019년10월10일,1490.33,1370.61,1357.56,1381.83,1370.54,1394.25,1374.73,1393.45,1407.45,1390.16,1393.51,1374.48,1381.29,1371.97,1372.73,1487.32,1400.00
2019년10월11일,1489.97,1370.00,1357.00,1379.66,1369.83,1393.52,1373.67,1392.98,1407.77,1389.63,1392.94,1374.20,1381.48,1371.83,1372.22,1487.66,1399.37
2019년10월12일,1488.89,1370.27,1356.90,1377.86,1369.67,1392.54,1374.10,1392.28,1407.48,1389.40,1392.91,1373.78,1381.25,1371.60,1372.34,1487.66,1399.53
2019년10월13일,1488.96,1370.02,1356.56,1378.02,1369.12,1392.64,1373.53,1392.01,1407.44,1389.91,1392.93,1373.27,1380.96,1371.32,1372.04,1487.66,1399.53
2019년10월14일,1487.74,1369.92,1356.61,1378.43,1368.54,1392.85,1373.93,1392.30,1407.16,1389.34,1392.53,1373.51,1380.75,1371.58,1372.14,1487.64,1399.21
2019년10월15일,1486.96,1369.72,1356.24,1377.10,1368.46,1392.02,1372.86,1391.95,1406.77,1388.96,1391.91,1373.06,1380.86,1371.45,1371.79,1487.64,1399.53
2019년10월16일,1486.77,1369.10,1356.49,1376.73,1368.41,1390.40,1372.50,1391.37,1406.47,1388.69,1391.62,1372.60,1380.93,1371.15,1371.64,1487.64,1399.45
2019년10월17일,1485.90,1367.95,1355.91,1375.86,1367.83,1388.98,1371.95,1390.73,1406.42,1388.59,1391.73,1372.49,1381.21,1371.09,1371.19,1487.64,1397.43
2019년10월18일,1484.68,1367.49,1355.21,1375.78,1366.49,1387.74,1371.97,1390.23,1406.51,1388.28,1391.43,1372.20,1381.04,1371.04,1370.94,1466.51,1396.48
2019년10월19일,1484.59,1366.75,1355.46,1374.18,1366.51,1387.13,1372.14,1389.50,1405.96,1387.83,1391.24,1371.87,1380.64,1370.76,1370.74,1462.60,1396.17
2019년10월20일,1484.07,1366.51,1354.95,1374.02,1365.95,1385.94,1371.27,1389.06,1405.79,1388.47,1391.23,1371.78,1380.45,1370.32,1370.42,1461.76,1395.39
2019년10월21일,1483.22,1366.81,1355.13,1372.96,1366.85,1386.02,1372.23,1389.04,1405.77,1387.55,1390.86,1371.89,1380.45,1370.12,1370.52,1460.39,1394.45
2019년10월22일,1482.26,1366.66,1354.57,1372.96,1365.54,1384.59,1371.00,1388.38,1405.07,1387.53,1390.81,1371.10,1380.40,1369.97,1370.09,1459.32,1392.92
2019년10월23일,1481.54,1366.24,1354.34,1372.42,1364.89,1383.61,1371.12,1388.03,1404.34,1387.19,1390.20,1370.27,1379.99,1369.47,1369.49,1458.35,1392.45
2019년10월24일,1480.79,1366.27,1354.58,1371.33,1366.00,1381.84,1370.64,1387.41,1404.42,1386.94,1390.03,1370.37,1379.83,1369.42,1369.05,1458.35,1391.31
2019년10월25일,1478.64,1365.96,1354.36,1371.11,1364.48,1381.24,1370.53,1386.82,1404.09,1386.58,1389.74,1370.08,1380.18,1369.24,1368.99,1458.45,1391.00
2019년10월26일,1477.58,1365.02,1354.04,1370.10,1366.21,1379.51,1370.28,1386.43,1403.86,1386.30,1389.23,1369.66,1380.02,1368.89,1368.74,1458.44,1390.43
2019년10월27일,1477.52,1364.74,1353.76,1369.86,1365.01,1379.45,1369.83,1385.75,1403.61,1387.08,1388.83,1369.55,1379.80,1368.74,1368.52,1458.48,1390.43
2019년10월28일,1477.07,1365.34,1353.59,1370.67,1365.30,1378.42,1370.12,1385.77,1403.47,1386.31,1388.56,1369.76,1379.95,1368.55,1368.27,1458.44,1390.43
2019년10월29일,1476.40,1364.00,1353.24,1370.24,1365.43,1378.08,1370.12,1385.72,1403.22,1386.04,1388.12,1369.20,1379.41,1368.43,1368.10,1458.33,1389.93
2019년10월30일,1475.42,1363.54,1353.24,1370.29,1365.05,1377.16,1369.39,1385.29,1403.20,1385.63,1388.47,1369.31,1379.51,1368.49,1368.11,1458.32,1389.37
2019년10월31일,1475.45,1363.72,1353.39,1369.75,1365.36,1377.13,1369.46,1385.22,1402.68,1385.56,1387.66,1369.17,1379.35,1368.13,1367.82,1458.27,1387.73
2019년11월01일,1474.38,1362.76,1353.19,1369.79,1364.57,1377.12,1368.48,1384.65,1402.21,1384.78,1387.07,1368.66,1379.29,1367.57,1367.14,1458.06,1387.10
2019년11월02일,1473.79,1361.90,1352.47,1369.14,1364.63,1376.71,1368.87,1383.85,1402.38,1384.81,1386.84,1368.63,1378.96,1367.24,1366.81,1458.21,1386.25
2019년11월03일,1473.45,1361.62,1352.82,1369.16,1364.26,1375.71,1368.27,1383.41,1402.27,1384.99,1386.42,1368.71,1378.68,1367.34,1366.54,1458.05,1385.46
2019년11월04일,1473.41,1362.14,1352.34,1370.00,1364.37,1376.18,1368.58,1383.67,1401.89,1385.01,1386.54,1368.61,1378.63,1367.17,1366.36,1458.01,1384.54
2019년11월05일,1471.52,1361.57,1352.51,1368.91,1365.16,1375.91,1368.92,1382.86,1401.34,1384.74,1386.17,1368.01,1378.70,1366.62,1365.78,1458.17,1383.06
2019년11월06일,1470.34,1360.90,1351.90,1369.00,1364.26,1375.65,1368.28,1382.50,1401.27,1384.47,1385.86,1367.53,1378.38,1366.52,1365.51,1458.01,1384.57
2019년11월07일,1469.42,1359.88,1350.76,1369.21,1364.13,1375.71,1367.41,1382.14,1401.40,1384.26,1385.22,1367.17,1378.16,1366.00,1365.05,1458.01,1383.81
2019년11월08일,1469.20,1359.42,1350.77,1369.40,1364.44,1375.77,1367.47,1382.05,1401.08,1384.85,1385.32,1367.18,1377.93,1366.06,1365.06,1457.98,1384.67
2019년11월09일,1468.63,1359.06,1350.30,1368.44,1364.77,1375.50,1366.76,1381.51,1401.19,1384.63,1385.03,1367.15,1378.13,1366.06,1364.83,1458.01,1383.96
2019년11월10일,1468.43,1358.57,1350.18,1367.55,1363.28,1374.70,1366.83,1381.11,1401.03,1384.44,1385.03,1367.02,1377.76,1365.82,1364.80,1457.70,1383.96
2019년11월11일,1467.83,1358.17,1350.88,1369.00,1364.37,1375.43,1367.02,1381.84,1401.20,1384.32,1385.02,1366.86,1378.22,1365.49,1364.37,1457.73,1383.96
2019년11월12일,1467.84,1358.30,1350.14,1368.84,1364.75,1375.88,1366.56,1381.95,1400.64,1384.16,1384.91,1366.70,1377.53,1365.73,1364.58,1457.54,1383.65
2019년11월13일,1467.35,1358.14,1350.44,1368.46,1363.70,1376.25,1367.09,1381.81,1400.64,1384.73,1384.97,1366.75,1377.33,1365.70,1364.46,1457.44,1382.95
2019년11월14일,1466.86,1357.86,1349.89,1368.64,1364.18,1376.17,1367.11,1381.88,1400.41,1384.53,1384.77,1366.59,1377.73,1365.49,1364.11,1457.39,1383.18
2019년11월15일,1466.65,1358.57,1349.79,1368.40,1363.91,1375.98,1367.44,1382.17,1400.07,1384.65,1384.96,1366.54,1377.70,1365.44,1364.39,1457.23,1383.65
2019년11월16일,1466.56,1358.24,1350.21,1368.44,1363.90,1376.03,1367.43,1381.99,1400.02,1384.31,1384.39,1366.55,1377.38,1365.38,1364.43,1457.13,1383.71
2019년11월17일,1466.86,1357.80,1349.87,1367.62,1362.64,1376.09,1366.76,1381.81,1399.76,1384.27,1384.48,1366.33,1377.51,1365.35,1364.33,1457.23,1383.71
2019년11월18일,1467.00,1357.80,1350.04,1368.69,1362.73,1376.01,1368.05,1382.21,1400.01,1383.87,1384.50,1366.41,1377.30,1365.59,1364.18,1457.16,1384.03
2019년11월19일,1467.34,1357.64,1350.39,1369.28,1363.55,1376.40,1368.27,1382.17,1399.80,1384.35,1384.23,1366.32,1377.39,1365.51,1364.03,1438.20,1384.50
2019년11월20일,1467.21,1357.58,1350.14,1369.64,1363.92,1376.76,1367.77,1382.09,1399.84,1383.76,1383.94,1366.19,1377.10,1365.60,1363.73,1435.63,1384.50
2019년11월21일,1467.60,1358.14,1350.35,1369.40,1363.47,1377.52,1368.04,1382.22,1399.68,1384.14,1383.84,1366.33,1377.08,1365.48,1363.63,1433.02,1384.75
2019년11월22일,1467.89,1357.70,1350.60,1369.83,1364.00,1377.85,1368.39,1382.31,1399.63,1384.41,1383.71,1366.76,1377.25,1365.24,1363.74,1431.83,1384.43
2019년11월23일,1468.11,1358.05,1350.46,1372.48,1363.64,1378.23,1367.97,1382.30,1399.45,1383.74,1384.06,1366.52,1377.07,1365.26,1363.95,1430.49,1385.53
2019년11월24일,1468.48,1357.68,1350.29,1373.23,1362.75,1378.69,1367.45,1382.23,1399.37,1384.08,1384.18,1366.30,1376.95,1365.25,1363.54,1430.25,1384.59
2019년11월25일,1468.12,1358.32,1350.23,1373.67,1362.83,1379.36,1367.82,1382.66,1399.54,1384.08,1384.41,1366.80,1377.19,1365.33,1363.79,1429.63,1385.21
2019년11월26일,1468.57,1358.21,1350.14,1374.94,1363.97,1378.57,1368.09,1382.82,1399.25,1384.76,1384.24,1367.06,1376.77,1365.41,1363.46,1428.82,1384.34
2019년11월27일,1468.44,1358.56,1350.56,1374.49,1363.59,1379.24,1368.07,1382.98,1399.12,1384.48,1384.43,1367.34,1376.98,1365.47,1363.46,1428.60,1383.09
2019년11월28일,1468.36,1358.79,1350.39,1374.81,1364.36,1379.41,1368.28,1383.24,1399.09,1384.48,1384.33,1367.25,1377.06,1365.67,1363.78,1428.60,1383.70
2019년11월29일,1468.50,1359.08,1350.92,1374.48,1364.66,1379.75,1368.18,1383.31,1399.42,1384.55,1384.32,1367.73,1377.25,1365.58,1364.05,1428.54,1384.17
2019년11월30일,1468.80,1358.34,1350.98,1374.83,1363.77,1379.24,1368.53,1383.17,1399.32,1384.83,1384.12,1368.77,1376.76,1365.27,1364.13,1428.54,1383.85
2019년12월01일,1469.21,1358.49,1350.55,1375.01,1363.58,1379.84,1367.92,1383.10,1399.19,1384.77,1384.35,1369.79,1376.83,1365.42,1363.85,1428.34,1383.85
2019년12월02일,1468.55,1359.23,1350.66,1374.92,1364.38,1379.57,1368.90,1383.37,1399.00,1384.57,1384.28,1370.59,1377.07,1365.62,1364.45,1428.34,1384.17
2019년12월03일,1468.97,1359.22,1351.01,1375.36,1365.07,1380.22,1369.21,1383.58,1399.05,1384.58,1384.64,1371.25,1376.93,1365.79,1364.21,1434.01,1384.01
2019년12월04일,1469.13,1359.62,1351.15,1375.29,1365.11,1380.40,1369.30,1383.88,1399.01,1384.57,1384.52,1371.59,1377.14,1365.52,1364.08,1434.30,1382.45
2019년12월05일,1469.55,1359.26,1351.78,1375.10,1364.68,1380.91,1369.60,1383.85,1399.06,1384.81,1384.94,1372.02,1377.10,1365.58,1364.17,1434.76,1383.39
2019년12월06일,1469.55,1359.74,1352.80,1376.07,1365.27,1380.74,1369.38,1384.10,1398.92,1384.99,1385.25,1372.29,1377.57,1365.76,1364.47,1434.69,1383.54
2019년12월07일,1469.70,1360.01,1354.20,1377.44,1365.58,1380.13,1369.91,1384.82,1398.72,1385.05,1385.66,1372.68,1377.46,1366.12,1364.52,1434.56,1384.01
2019년12월08일,1470.69,1359.52,1354.58,1376.93,1365.07,1380.98,1369.11,1384.68,1398.77,1384.72,1385.33,1372.98,1377.55,1366.12,1364.75,1434.66,1384.01
2019년12월09일,1470.41,1360.19,1355.41,1377.91,1364.94,1380.32,1370.03,1385.49,1398.90,1385.37,1385.96,1373.77,1378.21,1366.74,1365.47,1434.71,1384.95
2019년12월10일,1470.82,1360.59,1355.86,1378.29,1365.82,1382.08,1370.20,1385.80,1398.72,1385.81,1386.49,1374.07,1378.11,1366.82,1365.69,1434.87,1384.25
2019년12월11일,1471.17,1360.99,1356.34,1378.73,1366.60,1383.25,1372.04,1386.13,1398.99,1386.38,1386.80,1374.25,1378.32,1367.26,1366.58,1434.56,1385.04
2019년12월12일,1471.49,1361.60,1356.80,1379.06,1366.27,1384.51,1372.60,1386.84,1399.12,1386.67,1386.96,1374.61,1379.09,1367.65,1366.99,1434.58,1384.56
2019년12월13일,1471.04,1362.11,1357.85,1379.23,1367.15,1385.56,1373.48,1387.01,1399.48,1387.55,1387.37,1374.89,1379.62,1368.37,1367.57,1434.61,1384.71
2019년12월14일,1471.36,1363.20,1358.89,1380.55,1367.42,1386.73,1374.85,1387.07,1399.32,1387.90,1387.95,1375.43,1379.64,1368.54,1367.99,1434.45,1385.18
2019년12월15일,1471.94,1363.52,1359.33,1380.91,1366.31,1387.69,1374.48,1387.23,1399.74,1388.01,1387.90,1375.44,1379.66,1368.26,1368.06,1434.45,1385.81
2019년12월16일,1471.72,1364.44,1359.84,1383.00,1367.08,1388.34,1374.44,1388.12,1399.88,1388.61,1388.09,1375.78,1380.22,1369.04,1369.10,1434.38,1386.00
2019년12월17일,1472.55,1365.21,1359.98,1384.26,1367.64,1389.54,1374.92,1388.64,1400.03,1388.64,1388.67,1376.09,1380.58,1369.41,1369.45,1434.45,1386.38
2019년12월18일,1472.94,1366.16,1360.97,1384.69,1367.89,1390.00,1375.93,1389.19,1400.32,1388.83,1388.85,1376.60,1380.72,1369.76,1370.13,1434.35,1386.53
2019년12월19일,1472.99,1366.40,1361.67,1385.23,1368.65,1390.73,1377.40,1389.55,1400.51,1389.15,1389.12,1376.86,1381.16,1370.32,1370.74,1434.45,1386.67
2019년12월20일,1473.40,1367.27,1361.75,1385.64,1369.01,1390.94,1377.15,1390.24,1400.79,1390.03,1389.41,1377.25,1381.68,1371.38,1371.06,1434.72,1386.52
2019년12월21일,1473.82,1368.56,1362.49,1386.18,1369.68,1391.07,1378.20,1390.47,1401.22,1390.50,1390.02,1377.73,1382.52,1371.69,1371.41,1434.59,1387.10
2019년12월22일,1474.46,1368.42,1362.76,1386.53,1369.51,1391.13,1377.50,1390.72,1401.21,1390.57,1389.92,1378.49,1382.29,1372.02,1371.22,1434.53,1387.10
2019년12월23일,1474.50,1369.28,1363.12,1386.63,1370.76,1391.47,1378.32,1391.57,1401.67,1391.17,1390.25,1378.89,1382.81,1372.69,1371.72,1434.63,1387.56
2019년12월24일,1475.37,1370.02,1363.30,1387.14,1370.47,1392.21,1378.84,1392.26,1401.93,1391.36,1390.55,1378.13,1383.03,1373.20,1372.05,1459.58,1389.43
2019년12월25일,1475.52,1370.75,1364.13,1387.87,1371.61,1392.56,1379.30,1392.56,1401.94,1391.44,1390.89,1378.46,1383.00,1373.44,1372.74,1462.27,1392.10
2019년12월26일,1476.03,1371.65,1363.94,1388.20,1372.22,1392.63,1380.53,1393.32,1402.24,1392.34,1390.74,1378.82,1383.57,1374.04,1373.19,1464.47,1392.41
2019년12월27일,1476.42,1372.01,1364.43,1388.76,1373.13,1392.93,1382.22,1393.86,1402.29,1392.43,1390.80,1379.23,1384.23,1374.55,1374.01,1465.26,1393.29
2019년12월28일,1476.88,1372.44,1364.84,1388.27,1373.22,1393.26,1383.15,1394.20,1402.45,1392.49,1391.33,1379.38,1384.95,1375.02,1374.45,1465.26,1393.44
2019년12월29일,1477.45,1372.20,1364.74,1388.10,1373.52,1393.41,1383.05,1394.50,1402.66,1392.96,1391.45,1379.61,1385.09,1374.91,1374.32,1465.62,1393.90
2019년12월30일,1477.17,1372.95,1365.16,1388.78,1373.91,1393.83,1383.91,1395.16,1402.75,1393.06,1392.06,1380.08,1385.78,1375.44,1374.76,1465.48,1393.90
2019년12월31일,1478.33,1373.17,1365.11,1389.48,1374.65,1394.66,1384.84,1395.55,1403.25,1393.47,1392.27,1380.22,1386.32,1375.68,1375.18,1465.25,1395.13
2020년01월01일,1479.14,1373.51,1366.78,1389.57,1374.64,1394.70,1385.49,1395.82,1404.20,1393.92,1392.95,1380.77,1387.64,1376.91,1375.89,1464.94,1396.00
2020년01월02일,1479.85,1373.79,1367.16,1389.46,1375.33,1395.36,1386.86,1396.46,1404.88,1394.79,1393.93,1381.08,1388.14,1377.55,1376.44,1465.20,1397.07
2020년01월03일,1480.06,1374.81,1367.36,1389.93,1375.45,1395.88,1387.49,1396.47,1405.23,1394.74,1394.26,1381.56,1388.73,1377.89,1376.57,1465.88,1397.07
2020년01월04일,1479.94,1374.26,1368.52,1391.44,1375.27,1397.03,1387.01,1396.86,1406.60,1395.65,1394.87,1382.19,1389.72,1378.62,1377.37,1467.59,1397.07
2020년01월05일,1480.24,1374.51,1368.73,1392.21,1375.86,1397.24,1386.48,1397.01,1406.98,1395.60,1395.23,1382.33,1389.67,1379.03,1377.41,1468.32,1397.53
2020년01월06일,1480.84,1376.52,1369.76,1394.56,1376.98,1397.69,1387.63,1398.03,1407.60,1396.73,1396.11,1382.82,1390.54,1379.72,1378.40,1469.21,1397.69
2020년01월07일,1482.34,1377.66,1371.82,1398.08,1379.15,1398.48,1388.80,1399.66,1408.49,1398.01,1397.04,1383.57,1391.50,1380.85,1379.67,1469.95,1399.29
2020년01월08일,1483.69,1378.43,1373.58,1400.20,1380.55,1401.11,1389.42,1401.07,1409.37,1398.89,1398.63,1384.23,1392.60,1382.49,1380.81,1470.69,1402.50
2020년01월09일,1485.34,1379.58,1375.56,1405.94,1381.58,1401.86,1391.64,1402.62,1410.44,1399.67,1399.92,1385.10,1393.48,1383.10,1381.61,1471.23,1404.73
2020년01월10일,1485.97,1379.50,1375.73,1408.23,1381.97,1402.12,1392.57,1403.80,1411.43,1399.89,1400.61,1385.88,1394.13,1383.94,1382.16,1471.80,1405.56
2020년01월11일,1486.76,1380.80,1376.35,1407.99,1384.02,1402.32,1392.85,1404.51,1411.54,1399.79,1401.00,1385.98,1394.74,1384.56,1382.82,1471.39,1405.50
2020년01월12일,1486.13,1381.16,1376.75,1408.36,1383.04,1402.35,1392.99,1404.81,1411.95,1400.19,1401.29,1386.15,1394.49,1384.77,1382.87,1472.79,1405.96
2020년01월13일,1486.07,1382.02,1376.77,1407.59,1383.81,1402.88,1393.77,1405.69,1412.53,1400.76,1401.98,1386.34,1394.98,1385.34,1383.63,1473.00,1406.27
2020년01월14일,1485.96,1381.60,1377.11,1406.45,1384.23,1402.97,1393.99,1406.05,1412.97,1401.07,1401.90,1386.40,1395.17,1385.85,1383.99,1473.15,1405.96
2020년01월15일,1485.91,1381.51,1377.27,1404.70,1384.13,1402.31,1393.81,1405.82,1413.32,1401.37,1401.92,1386.41,1395.47,1385.91,1384.08,1473.36,1405.81
2020년01월16일,1485.95,1381.70,1377.16,1403.42,1384.07,1401.46,1393.95,1405.37,1413.41,1401.81,1401.96,1386.66,1396.11,1386.16,1384.62,1473.36,1405.66
2020년01월17일,1485.42,1381.41,1377.09,1402.54,1383.73,1401.29,1393.44,1405.21,1413.89,1401.72,1401.89,1386.61,1395.68,1386.36,1384.30,1473.25,1405.83
2020년01월18일,1485.17,1381.11,1376.95,1402.28,1383.56,1400.26,1393.40,1404.53,1413.98,1401.62,1402.05,1386.50,1395.85,1385.91,1384.19,1473.36,1405.84
2020년01월19일,1484.97,1380.61,1376.80,1402.16,1382.79,1400.76,1393.14,1404.39,1414.12,1401.58,1401.87,1386.64,1395.79,1385.61,1384.00,1473.36,1406.30
2020년01월20일,1484.87,1381.44,1376.68,1402.17,1383.07,1400.95,1393.16,1404.17,1414.30,1401.79,1402.18,1386.60,1396.25,1386.08,1384.00,1473.23,1405.41
2020년01월21일,1484.69,1380.14,1376.57,1401.11,1383.08,1399.31,1393.55,1404.02,1413.95,1401.52,1401.48,1386.29,1396.05,1385.97,1384.13,1473.15,1405.16
2020년01월22일,1484.62,1379.87,1376.37,1400.91,1382.39,1398.96,1392.97,1403.62,1413.85,1401.28,1401.17,1386.26,1395.78,1386.10,1384.03,1473.15,1404.03
2020년01월23일,1484.46,1379.23,1376.04,1400.84,1382.17,1397.90,1392.75,1403.64,1413.74,1401.24,1401.06,1386.24,1395.91,1386.01,1383.70,1473.00,1404.33
2020년01월24일,1484.47,1378.76,1376.20,1400.16,1382.11,1397.28,1392.52,1403.30,1413.99,1401.15,1401.14,1386.23,1395.88,1386.17,1383.50,1473.22,1404.33
2020년01월25일,1484.60,1378.42,1376.08,1399.85,1381.96,1397.48,1392.27,1403.09,1413.86,1401.31,1401.02,1386.10,1395.79,1385.96,1383.54,1473.19,1404.33
2020년01월26일,1484.52,1378.28,1376.10,1399.88,1381.52,1397.24,1391.69,1402.82,1413.97,1400.97,1400.67,1385.98,1395.74,1385.68,1383.40,1473.09,1404.18
2020년01월27일,1483.45,1378.29,1374.94,1399.58,1380.75,1396.84,1391.87,1402.46,1413.91,1400.48,1400.39,1385.17,1395.47,1384.85,1382.60,1473.03,1403.64
