,시도,시군구,이름,셀프,고급휘발유,보통휘발유,경유,실내등유
0,서울,강남구,HD현대오일뱅크㈜직영 산성셀프주유소,셀프,"1,819","1,595","1,428",
1,서울,강남구,(주)보성 세곡주유소,셀프,"1,783","1,583","1,428",
2,서울,강남구,방죽주유소,셀프,,"1,627","1,469",
3,서울,강남구,일원주유소,셀프,,"1,647","1,477",
4,서울,강남구,(주)중앙에너비스 수서지점,셀프,"1,857","1,637","1,477",
5,서울,강남구,자곡셀프주유소,셀프,,"1,638","1,478",
6,서울,강남구,HD현대오일뱅크㈜직영 강남셀프주유소,셀프,"1,809","1,599","1,494",
7,서울,강남구,HD현대오일뱅크㈜직영 도곡셀프주유소,셀프,"1,809","1,639","1,514",
8,서울,강남구,극동유화㈜ 개나리주유소,셀프,"1,856","1,636","1,514",
9,서울,강남구,오일프러스 셀프,셀프,"1,864","1,626","1,516",
10,서울,강남구,HD현대오일뱅크㈜직영 유진주유소,,"1,824","1,649","1,529","1,570"
11,서울,강남구,SK서광주유소,셀프,"1,890","1,695","1,575",
12,서울,강남구,(주)선진도곡주유소,,"1,898","1,699","1,594",
13,서울,강남구,세진에너지(주) 개포주유소,셀프,"2,155","1,758","1,598","1,600"
14,서울,강남구,대교셀프주유소,셀프,"2,030","1,710","1,600",
15,서울,강남구,지에스칼텍스㈜에너지플러스허브GS타워,셀프,"1,947","1,747","1,637",
16,서울,강남구,삼성동주유소,셀프,"1,965","1,725","1,640",
17,서울,강남구,지에스칼텍스㈜ 은마주유소,,"1,859","1,659","1,643",
18,서울,강남구,(유)동하석유 힐탑셀프주유소,셀프,"1,967","1,797","1,667",
19,서울,강남구,대동석유 압구정주유소,셀프,"1,977","1,797","1,687",
20,서울,강남구,HD현대오일뱅크㈜직영 신사현대주유소,,"2,259","1,819","1,699",
21,서울,강남구,지에스칼텍스㈜ 삼성로주유소,셀프,"2,139","1,939","1,879",
22,서울,강남구,HD현대오일뱅크㈜직영 한양주유소,,"2,365","2,118","1,926",
23,서울,강남구,명품주유소,셀프,"2,247","2,148","1,947",
24,서울,강남구,㈜새서울석유 새서울주유소,,"2,397","2,198","1,998",
25,서울,강남구,(주)소모 쎈트럴주유소,,"2,398","2,198","1,998","1,650"
26,서울,강남구,대청주유소,,"2,466","2,246","2,046","1,869"
27,서울,강남구,SK논현주유소,,"2,518","2,285","2,095","1,750"
28,서울,강남구,(주)제이제이네트웍스 제이제이주유소,,"2,698","2,458","2,248",
29,서울,강남구,(주)만정에너지 삼보주유소,,"2,833","2,593","2,555","1,850"
30,서울,강동구,재건에너지 재정제2주유소 고속셀프지점,셀프,,"1,599","1,439",
31,서울,강동구,방아다리주유소,셀프,"1,805","1,605","1,445",
32,서울,강동구,구천면주유소,,,"1,598","1,457",
33,서울,강동구,지에스칼텍스㈜ 동서울주유소,셀프,"1,835","1,635","1,475",
34,서울,강동구,대성석유(주)길동주유소,,"1,835","1,636","1,518","1,500"
35,서울,강동구,sk해뜨는주유소,셀프,"1,939","1,699","1,519","1,600"
36,서울,강동구,(주)삼표에너지 고덕주유소,셀프,"1,890","1,656","1,538","1,539"
37,서울,강동구,(주)소모 신월주유소,셀프,"1,856","1,656","1,538","1,590"
38,서울,강동구,(주)퍼스트오일 코알라주유소,셀프,"1,870","1,680","1,570",
39,서울,강동구,주)지유에너지직영 오렌지주유소,,"1,895","1,735","1,615",
40,서울,강동구,(주)소모 성내주유소,셀프,,"1,740","1,630",
41,서울,강동구,천호현대주유소,,,"1,895","1,695",
42,서울,강동구,광성주유소,,,"1,918","1,758","1,800"
