,시도,시군구,이름,셀프,고급휘발유,보통휘발유,경유,실내등유
43,서울,강북구,(주)석산에너지,셀프,,"1,555","1,375","1,430"
44,서울,강북구,수유동주유소,셀프,,"1,555","1,375",
45,서울,강북구,북서울고속주유소,셀프,"1,779","1,555","1,375",
46,서울,강북구,SK에너지(주) 매일주유소,셀프,,"1,555","1,375",
47,서울,강북구,(주)자연에너지 번동주유소,셀프,"1,779","1,555","1,375",
48,서울,강북구,덕릉로주유소,셀프,,"1,555","1,375",
49,서울,강북구,(주)서울에너지 시민주유소,셀프,"1,779","1,555","1,375",
50,서울,강북구,씨앤에스유통㈜ 미아셀프주유소,셀프,,"1,565","1,385",
51,서울,강북구,대성석유(주)신광주유소,,,"1,579","1,399","1,480"
52,서울,강북구,㈜지에스이앤알 미아주유소,셀프,"1,799","1,585","1,405",
53,서울,강서구,화곡역주유소,셀프,,"1,549","1,378",
54,서울,강서구,유턴주유소,셀프,,"1,538","1,378","1,380"
55,서울,강서구,이케이에너지(주) 강서주유소,셀프,,"1,549","1,378",
56,서울,강서구,㈜한경에너지 신화곡주유소,셀프,,"1,539","1,379",
57,서울,강서구,(주)타이거오일 방화주유소,셀프,,"1,534","1,383","1,600"
58,서울,강서구,강서오곡셀프주유소,셀프,,"1,554","1,387",
59,서울,강서구,행촌에너지 공항주유소,셀프,"1,799","1,550","1,390",
60,서울,강서구,스카이주유소,셀프,"1,799","1,559","1,395",
61,서울,강서구,씨앤에스유통(주) 마곡드림주유소,셀프,,"1,565","1,395",
62,서울,강서구,KH에너지(주)직영 KH외발산주유소,셀프,"1,875","1,588","1,398",
63,서울,강서구,뉴신정주유소,,,"1,559","1,427",
64,서울,강서구,목화주유소,셀프,,"1,559","1,427",
65,서울,강서구,지에스칼텍스㈜ 경인고속주유소,셀프,"1,759","1,559","1,427","1,500"
66,서울,강서구,현대오일뱅크 등촌주유소,,,"1,596","1,436",
67,서울,강서구,강서열린주유소,,,"1,598","1,438","1,600"
68,서울,강서구,개화주유소,셀프,,"1,617","1,447",
69,서울,강서구,오션네트웍스(주) 서울식물원지점,셀프,"1,799","1,595","1,468",
70,서울,강서구,대성석유(주)방화대성주유소,셀프,"1,816","1,638","1,478",
71,서울,강서구,화곡현대주유소,셀프,"1,824","1,614","1,494",
72,서울,강서구,HD현대오일뱅크㈜직영 양화교셀프주유소,셀프,"1,796","1,616","1,496","1,539"
73,서울,강서구,하이웨이주유소,셀프,"1,746","1,626","1,496",
74,서울,강서구,대성석유(주) 마곡대성주유소,셀프,"1,816","1,618","1,498",
75,서울,강서구,대성석유(주) 관문주유소,,"1,826","1,628","1,498","1,500"
76,서울,강서구,우장산주유소,셀프,"1,826","1,625","1,498","1,650"
77,서울,강서구,(주)한진 김포공항제2주유소,셀프,,"1,655","1,507",
78,서울,강서구,HD현대오일뱅크㈜직영 가양주유소,,"1,814","1,647","1,519",
79,서울,강서구,세원제1주유소,셀프,,"1,640","1,520",
80,서울,강서구,SK KH에너지 가양주유소,,"1,816","1,638","1,528",
81,서울,강서구,대성주유소,,"1,838","1,638","1,528",
82,서울,강서구,코리나(주)청룡주유소,,,"1,698","1,558","1,600"
83,서울,강서구,박물관주유소,,"1,898","1,698","1,598",
84,서울,강서구,참솔에너지,셀프,,"1,765","1,665",
85,서울,강서구,염창동주유소,,,"1,993","1,875",
86,서울,관악구,HD현대오일뱅크㈜직영 문성골주유소,,,"1,569","1,379","1,350"
87,서울,관악구,(주)연우에너지 신관주유소,셀프,,"1,584","1,414","1,500"
88,서울,관악구,(주)엠오티이엔지 직영 삼화주유소,,,"1,588","1,438",
89,서울,관악구,대양석유(주)직영 보라매주유소,셀프,,"1,594","1,441",
90,서울,관악구,현대주유소,,,"1,619","1,449",
91,서울,관악구,HD현대오일뱅크㈜직영 관악셀프주유소,셀프,"1,939","1,628","1,463",
92,서울,관악구,유림주유소,,,"1,648","1,478","1,598"
93,서울,관악구,(주)한유에너지 행운주유소,셀프,"1,994","1,614","1,484",
94,서울,관악구,SK에너지(주)직영 대공원주유소,,"1,805","1,615","1,485",
95,서울,관악구,서일석유(주)락성주유소,셀프,"1,795","1,615","1,485","1,450"
96,서울,관악구,SK에너지(주)직영 신봉천주유소,,"1,805","1,615","1,485","1,380"
97,서울,관악구,관악시몬주유소,,,"1,715","1,545",
98,서울,관악구,CJ대한통운㈜ 신림주유소,,,"1,748","1,578",
99,서울,관악구,지에스칼텍스㈜ 난곡주유소,,,"1,929","1,723",
100,서울,광진구,(주)자연에너지 중원주유소,셀프,,"1,557","1,377",
101,서울,광진구,(주)창원CW,셀프,,"1,557","1,377",
102,서울,광진구,서울중앙고속주유소,셀프,"1,796","1,557","1,377",
103,서울,광진구,삼호주유소,셀프,"1,819","1,557","1,387",
104,서울,광진구,HD현대오일뱅크㈜직영 능동주유소,셀프,"1,819","1,557","1,387","1,490"
105,서울,광진구,정해네트웍스(주)일진주유소,셀프,"1,797","1,577","1,387",
106,서울,광진구,HD현대오일뱅크㈜직영 중곡현대주유소,셀프,"1,859","1,567","1,397",
107,서울,광진구,HD현대오일뱅크㈜직영 장호셀프주유소,셀프,,"1,569","1,399",
108,서울,광진구,용마주유소,,,"1,579","1,409",
109,서울,광진구,(주)장수주유소,셀프,,"1,575","1,425",
110,서울,광진구,유니스에너지 자양주유소,,"1,958","1,678","1,528",
111,서울,광진구,강평주유소 ㈜강평텔레콤,,"1,978","1,798","1,648","1,598"
112,서울,구로구,씨앤에스유통(주) 구로드림주유소,셀프,,"1,559","1,370",
113,서울,구로구,개봉주유소,셀프,,"1,559","1,370","1,660"
114,서울,구로구,㈜자연에너지 고척주유소,셀프,"1,789","1,559","1,370",
115,서울,구로구,지에스칼텍스㈜ 개봉동주유소,셀프,"1,789","1,559","1,370",
116,서울,구로구,영진주유소,셀프,"1,769","1,553","1,370",
117,서울,구로구,(주)제이제이네트웍스 신구로주유소,,"1,938","1,555","1,370",
118,서울,구로구,서서울고속주유소,셀프,"1,769","1,559","1,370",
119,서울,구로구,(주)서울에너지 궁동주유소,셀프,"1,799","1,559","1,370",
120,서울,구로구,신성주유소,셀프,,"1,553","1,378",
121,서울,구로구,SK구로주유소,,"1,769","1,574","1,398",
122,서울,구로구,구인주유소,,,"1,574","1,398",
123,서울,구로구,(주)한미석유구로그린주유소,셀프,,"1,575","1,399",
124,서울,구로구,극동유화(주) 항동주유소,셀프,,"1,569","1,399",
125,서울,구로구,대성산업(주)디큐브주유소,,"1,795","1,615","1,415",
126,서울,구로구,대원셀프주유소,셀프,,"1,618","1,448",
127,서울,구로구,HD현대오일뱅크㈜직영 구로셀프주유소,셀프,"1,838","1,618","1,463",
128,서울,구로구,동아주유소,,,"1,898","1,498",
129,서울,구로구,구로주유소,,,"2,190","1,980","1,840"
130,서울,금천구,HD현대오일뱅크㈜직영 금천현대셀프주유소,셀프,"1,779","1,573","1,383",
131,서울,금천구,(주)화동유업 화동주유소,셀프,,"1,572","1,383","1,450"
132,서울,금천구,(주)백운주유소,셀프,,"1,573","1,384","1,500"
133,서울,금천구,구광주유소,,,"1,575","1,385","1,450"
134,서울,금천구,대득에너지(금천셀프주유소),셀프,"1,765","1,595","1,395",
135,서울,금천구,지에스칼텍스(주)일신주유소,셀프,"1,795","1,595","1,399",
136,서울,금천구,HD현대오일뱅크㈜직영 남서울셀프주유소,셀프,,"1,599","1,409",
137,서울,금천구,SK에너지(주) 박미주유소,셀프,"1,795","1,605","1,425","1,380"
138,서울,금천구,백산주유소,셀프,,"1,598","1,445",
139,서울,금천구,SK에너지(주) 이가주유소,,"1,819","1,619","1,459","1,380"
140,서울,금천구,현대오일뱅크㈜직영 금천제일주유소,,"1,789","1,638","1,473",
141,서울,노원구,화랑대주유소,셀프,"2,070","1,575","1,385",
142,서울,노원구,이엠석유(주)배꽃나라주유소,셀프,"1,995","1,575","1,385",
143,서울,노원구,(주)정건에너지직영,셀프,"1,834","1,575","1,385",
144,서울,노원구,태릉솔밭주유소,셀프,"1,834","1,575","1,385",
145,서울,노원구,구도일주유소 불암,셀프,,"1,575","1,391",
146,서울,노원구,월계주유소,셀프,"1,834","1,575","1,405",
147,서울,노원구,SK에너지㈜직영 상계주유소,,,"1,599","1,429",
148,서울,노원구,한신주유소,셀프,"1,895","1,585","1,430","1,600"
149,서울,노원구,삼육주유소,셀프,,"1,615","1,445","1,300"
150,서울,노원구,성북역주유소,,"1,958","1,658","1,498",
151,서울,노원구,신성주유소,셀프,,"1,658","1,498",
152,서울,노원구,상계동주유소,,,"1,630","1,530","1,570"
153,서울,노원구,(주)소모 수락산셀프주유소,셀프,,"1,688","1,538","1,600"
154,서울,노원구,하계삼호주유소,,,"1,770","1,680",
155,서울,도봉구,지에스칼텍스㈜ 방학동주유소,셀프,"1,805","1,555","1,375","1,320"
156,서울,도봉구,(주)자연에너지 햇살주유소,셀프,"1,805","1,555","1,375",
157,서울,도봉구,삼미북부셀프주유소,셀프,,"1,555","1,375",
158,서울,도봉구,도봉제일주유소(주)송만에너지,,,"1,555","1,375","1,310"
159,서울,도봉구,한이에너지(주) 쌍문주유소,셀프,"1,805","1,555","1,375",
160,서울,도봉구,이케이에너지 주식회사,셀프,,"1,555","1,375",
161,서울,도봉구,(주)헨지스에너지 구도일주유소 도봉,셀프,,"1,565","1,385",
162,서울,도봉구,구도일주유소 파크빌,셀프,,"1,575","1,395","1,430"
163,서울,도봉구,(주)쌍문셀프주유소,셀프,,"1,585","1,395","1,450"
164,서울,도봉구,극동유화(주) 대안주유소,셀프,,"1,569","1,399",
165,서울,도봉구,동일석유(주) 창동주유소,셀프,,"1,595","1,415",
166,서울,도봉구,대성산업(주)신창주유소,셀프,,"1,595","1,415",
167,서울,도봉구,노원교주유소,셀프,,"1,595","1,435","1,320"
168,서울,도봉구,HD현대오일뱅크㈜직영 영신주유소,,"1,997","1,637","1,477","1,320"
169,서울,도봉구,오복주유소,셀프,"2,300","1,653","1,495","1,700"
170,서울,동대문구,동서울고속주유소,셀프,"1,759","1,557","1,377",
171,서울,동대문구,(주)자연에너지 국민주유소,셀프,"1,759","1,557","1,377",
172,서울,동대문구,풍한주유소,,,"1,565","1,385",
173,서울,동대문구,재정제2주유소,셀프,,"1,567","1,387",
174,서울,동대문구,재정주유소,셀프,"1,769","1,567","1,387",
175,서울,동대문구,(주)정건에너지 배봉로지점,셀프,,"1,567","1,387",
176,서울,동대문구,열린주유소,,,"1,579","1,387",
177,서울,동대문구,대성산업(주)동마장주유소,셀프,"1,814","1,615","1,435",
178,서울,동대문구,(주)안국에너지 삼원셀프주유소,셀프,,"1,638","1,438","1,460"
179,서울,동대문구,HD현대오일뱅크㈜직영 스피드주유소,,"1,749","1,614","1,449",
180,서울,동대문구,홍능주유소,,,"1,635","1,475","1,400"
181,서울,동대문구,삼영주유소,,,"1,635","1,475","1,700"
182,서울,동대문구,삼미상사(주)장안킹셀프주유소,셀프,,"1,638","1,478",
183,서울,동대문구,경동주유소,셀프,,"1,615","1,495",
184,서울,동대문구,한영주유소 (한화),,,"1,617","1,498",
185,서울,동대문구,오동나무주유소,,,"1,688","1,498","1,600"
186,서울,동작구,지에스칼텍스(주) 대방주유소,,"1,779","1,579","1,379","1,250"
187,서울,동작구,창원이엔지주유소,셀프,,"1,579","1,429",
188,서울,동작구,지에스칼텍스㈜직영 남성주유소,셀프,"1,795","1,595","1,465",
189,서울,동작구,HD현대오일뱅크㈜직영 사당셀프주유소,셀프,"1,939","1,615","1,485",
190,서울,동작구,HD현대오일뱅크㈜직영 흑석동셀프주유소,셀프,"1,848","1,628","1,494",
191,서울,동작구,HD현대오일뱅크㈜직영 동작주유소,,"1,859","1,633","1,499",
192,서울,동작구,매일주유소,셀프,,"1,679","1,559","1,650"
193,서울,동작구,살피재주유소,,,"1,785","1,635",
194,서울,마포구,(주)타이거통상 월드컵주유소,셀프,"1,789","1,539","1,429",
195,서울,마포구,마포시엠주유소,,,"1,549","1,439",
196,서울,마포구,성산대교셀프주유소,셀프,,"1,559","1,449","1,648"
197,서울,마포구,청원주유소,셀프,"1,879","1,559","1,449",
198,서울,마포구,(주)안국에너지 망원동주유소,,,"1,658","1,498",
199,서울,마포구,에쓰오일(주) 염리동주유소,셀프,,"1,677","1,559",
200,서울,마포구,에쓰오일(주)마포주유소,셀프,"1,897","1,677","1,559",
201,서울,마포구,에스에스오토셀프,셀프,"2,048","1,697","1,579",
202,서울,마포구,용강주유소,,,"1,697","1,579","1,650"
203,서울,마포구,(주)만성상사 대흥주유소,,"2,199","1,707","1,589","1,745"
204,서울,마포구,SK에너지(주) 안국주유소,,"1,934","1,713","1,599",
205,서울,마포구,SK에너지 양지주유소,,"1,949","1,729","1,619",
206,서울,서대문구,(주)미래아스팔트 신우주유소,셀프,,"1,529","1,389",
207,서울,서대문구,(주)창원이엔지 홍제지점,,,"1,529","1,419","1,800"
208,서울,서대문구,지에스칼텍스(주)홍제동주유소,셀프,"1,779","1,529","1,419",
209,서울,서대문구,(주)가재울뉴타운주유소,셀프,,"1,543","1,433",
210,서울,서대문구,남정주유소,,,"1,548","1,438","1,650"
211,서울,서대문구,HD현대오일뱅크㈜직영 연세주유소,셀프,"1,784","1,529","1,439",
212,서울,서대문구,(주)한화미 구도일주유소 두꺼비,셀프,"1,799","1,559","1,449",
213,서울,서대문구,행촌제2주유소,셀프,"1,875","1,584","1,453",
214,서울,서대문구,중앙에너비스 동교지점,셀프,"1,868","1,595","1,455",
215,서울,서대문구,(주)안국에너지 삼보셀프주유소,셀프,"1,798","1,598","1,468",
216,서울,서대문구,연희주유소,,"1,895","1,595","1,485",
217,서울,서대문구,광호주유소,,,"1,595","1,485",
218,서울,서대문구,㈜우남에너지 문화사랑주유소,셀프,,"1,599","1,499",
219,서울,서초구,만남의광장주유소,셀프,,"1,524","1,357",
220,서울,서초구,에너지 플러스 허브 내곡,셀프,"1,785","1,585","1,415",
221,서울,서초구,씨앤에스유통㈜ 내곡드림주유소,셀프,"1,795","1,585","1,415","1,620"
222,서울,서초구,양재최고주유소,,,"1,614","1,464",
223,서울,서초구,지에스칼텍스(주)선천주유소,,"1,795","1,595","1,465",
224,서울,서초구,에너지플러스허브 삼방주유소,셀프,"1,788","1,588","1,471",
225,서울,서초구,반포그린주유소,셀프,"1,788","1,588","1,471",
226,서울,서초구,(주)대농석유 남태령주유소,셀프,,"1,605","1,475",
227,서울,서초구,HD현대오일뱅크㈜직영 방배현대주유소,,"1,829","1,615","1,489","1,620"
228,서울,서초구,HD현대오일뱅크㈜직영 팔레스주유소,,"1,809","1,608","1,491",
229,서울,서초구,HD현대오일뱅크㈜직영 사평로주유소,,"1,839","1,608","1,491",
230,서울,서초구,(주)한미석유 서초주유소,셀프,"1,845","1,625","1,495",
231,서울,서초구,에쓰오일(주)직영 오토테크주유소,셀프,"1,850","1,630","1,505",
232,서울,서초구,극동유화(주) 전당앞주유소,셀프,"1,855","1,635","1,505",
233,서울,서초구,서초꽃마을주유소,셀프,"1,855","1,635","1,505",
234,서울,서초구,HD현대오일뱅크㈜직영 서초제일주유소,,"1,839","1,617","1,513",
235,서울,서초구,대성석유(주)연일주유소,,"1,866","1,646","1,515","1,500"
236,서울,서초구,태봉셀프주유소,셀프,,"1,635","1,515",
237,서울,서초구,대성산업(주)직영 강남주유소,셀프,"1,808","1,635","1,515",
238,서울,서초구,말죽거리주유소,,,"1,626","1,516","1,550"
239,서울,서초구,HD현대오일뱅크㈜직영 양재현대주유소,,"1,824","1,649","1,529","1,570"
240,서울,서초구,양재주유소,,"1,844","1,649","1,539",
241,서울,서초구,서초우면산주유소,셀프,"1,859","1,649","1,539",
242,서울,서초구,한독주유소,셀프,"1,884","1,617","1,543",
243,서울,서초구,신반포주유소,셀프,"1,884","1,617","1,543",
244,서울,서초구,대성산업(주)직영 터미널(고속)주유소,,"1,825","1,665","1,545","1,650"
245,서울,서초구,대신석유(주)대우주유소,셀프,,"1,679","1,567",
246,서울,서초구,지에스칼텍스(주)남서울주유소,셀프,"1,929","1,719","1,599",
247,서울,서초구,방배동주유소,,"1,998","1,893","1,796",
248,서울,서초구,대신석유㈜서원주유소,,"2,098","1,998","1,868",
249,서울,서초구,(주)선문에너지 중앙주유소,,"2,394","2,168","1,989",
250,서울,성동구,성동스카이셀프주유소,셀프,"1,755","1,555","1,379",
251,서울,성동구,(주)서울에너지 직영,셀프,,"1,555","1,379",
252,서울,성동구,KLP제2주유소,셀프,,"1,575","1,425",
253,서울,성동구,정호주유소,,,"1,578","1,428",
254,서울,성동구,SK에너지(주) 군자동주유소,,"1,799","1,589","1,429",
255,서울,성동구,지에스칼텍스㈜ 도루코주유소,셀프,"1,845","1,595","1,445","1,616"
256,서울,성동구,HD현대오일뱅크㈜직영 효진주유소,,"1,824","1,595","1,445",
257,서울,성동구,HD현대오일뱅크㈜직영 성동셀프주유소,셀프,"1,865","1,607","1,447",
258,서울,성동구,아이콘주유소,셀프,"1,788","1,608","1,448",
259,서울,성동구,동일주유소,,"1,849","1,599","1,475",
260,서울,성동구,SK세원2주유소,,"1,975","1,685","1,576",
261,서울,성동구,SK에너지(주) 성수주유소,,"1,828","1,698","1,598",
262,서울,성동구,SK KH에너지 성수만세주유소,셀프,"1,863","1,698","1,598",
263,서울,성동구,금호주유소,,"2,142","1,893","1,743","1,700"
264,서울,성동구,청계로주유소,,,"1,995","1,945","1,795"
265,서울,성동구,(주)옥수하이웨이스테이션,,"2,398","2,198","1,998",
266,서울,성북구,원천주유소,셀프,,"1,553","1,373",
267,서울,성북구,중앙에너비스 종암지점,셀프,,"1,565","1,375",
268,서울,성북구,이케이에너지㈜ 강산주유소,셀프,,"1,555","1,375","1,300"
269,서울,성북구,지에스칼텍스(주) 종암주유소,셀프,"1,815","1,565","1,375",
270,서울,성북구,(주)삼표에너지 정릉주유소,셀프,"1,819","1,555","1,375","1,500"
271,서울,성북구,이케이에너지(주) 강산제2주유소,셀프,"1,819","1,555","1,375",
272,서울,성북구,신방주유소,,,"1,555","1,375",
273,서울,성북구,HD현대오일뱅크㈜직영 고대셀프주유소,셀프,"1,835","1,565","1,385",
274,서울,성북구,HD현대오일뱅크㈜직영 북악셀프주유소,셀프,"1,835","1,575","1,395",
275,서울,성북구,SK에너지(주) 드림랜드주유소,,"1,784","1,575","1,395","1,520"
276,서울,성북구,(주)성북주유소,셀프,,"1,565","1,395",
277,서울,성북구,장삼 쌍둥이 주유소,셀프,,"1,595","1,415",
278,서울,성북구,우리주유소,셀프,,"1,594","1,415",
279,서울,성북구,㈜스마일에너지 신동방주유소,셀프,"1,854","1,605","1,415",
280,서울,성북구,장위주유소,셀프,,"1,604","1,424",
281,서울,성북구,지에스칼텍스㈜ 화랑주유소,,,"1,599","1,449","1,476"
282,서울,성북구,(주)신용 구도일주유소화랑로,셀프,"1,853","1,593","1,453","1,420"
283,서울,성북구,삼선주유소,셀프,"1,955","1,645","1,455",
284,서울,성북구,재정제2주유소 길음지점,,,"1,599","1,459","1,450"
285,서울,성북구,㈜명연에너지 효성주유소,셀프,"1,895","1,585","1,475",
286,서울,성북구,동일주유소,셀프,"1,895","1,595","1,495",
287,서울,성북구,지에스칼텍스㈜ 세창주유소,셀프,"2,071","1,815","1,669","1,396"
288,서울,송파구,상아주유소,셀프,,"1,603","1,433","1,450"
289,서울,송파구,송파스마일주유소,셀프,"1,813","1,613","1,433",
290,서울,송파구,HD현대오일뱅크㈜직영 잠실셀프주유소,셀프,"1,793","1,608","1,443","1,560"
291,서울,송파구,위례제일주유소 (주)버드에너지,셀프,,"1,603","1,443",
292,서울,송파구,지에스이앤알 직영 송파제일주유소,셀프,,"1,599","1,443",
293,서울,송파구,삼화주유소,셀프,"1,793","1,603","1,443",
294,서울,송파구,(주)잠실에너지,셀프,"1,793","1,623","1,443",
295,서울,송파구,(주)삼표에너지 훼미리주유소,셀프,"1,833","1,623","1,453","1,621"
296,서울,송파구,한강에너지(주)퍼스트주유소,셀프,"1,813","1,623","1,453",
297,서울,송파구,(주)삼표에너지 아시아주유소,셀프,"1,803","1,603","1,453",
298,서울,송파구,대성주유소,,,"1,608","1,458","1,500"
299,서울,송파구,(주)신화에너지 서울지점,셀프,,"1,639","1,463",
300,서울,송파구,위례드림주유소,셀프,"1,813","1,613","1,463",
301,서울,송파구,남성대주유소,셀프,,"1,613","1,463","1,500"
302,서울,송파구,방이주유소,,,"1,608","1,463",
303,서울,송파구,지에스칼텍스(주)가든파이브주유소,셀프,"1,813","1,613","1,463",
304,서울,송파구,지에스칼텍스(주)스마트위례주유소,셀프,"1,813","1,613","1,463",
305,서울,송파구,(주)유진주유소,,,"1,608","1,463",
306,서울,송파구,완불주유소,셀프,"1,823","1,612","1,473",
307,서울,송파구,제트라인DM주유소,,,"1,625","1,478",
308,서울,송파구,(주)삼표에너지 우리주유소,셀프,"1,817","1,617","1,497","1,600"
309,서울,송파구,(주)정직한주유소,셀프,,"1,637","1,497",
310,서울,송파구,(유)호림플러스홀딩스 남성주유소,셀프,,"1,657","1,499",
311,서울,송파구,(주)퍼스트오일서울주유소,,,"1,610","1,510","1,500"
312,서울,송파구,HD현대오일뱅크㈜직영 올림픽셀프주유소,셀프,"1,814","1,658","1,533",
313,서울,송파구,대성석유(주)석촌주유소,,"1,818","1,627","1,537","1,500"
314,서울,송파구,대신석유(주)진양주유소,,"1,998","1,898","1,768",
315,서울,양천구,HD현대오일뱅크㈜직영 남부순환셀프주유소,셀프,"1,795","1,523","1,357",
316,서울,양천구,현대오일뱅크(주)직영 양천셀프주유소,셀프,"1,869","1,550","1,357",
317,서울,양천구,현대주유소,셀프,,"1,537","1,368",
318,서울,양천구,플라트(주)서호주유소,셀프,"1,795","1,537","1,368","1,450"
319,서울,양천구,지에스이앤알 직영 서울주유소,셀프,,"1,528","1,369",
320,서울,양천구,신월주유소,셀프,,"1,544","1,374","1,600"
321,서울,양천구,(주)타이거오일 신정주유소,셀프,,"1,534","1,379",
322,서울,양천구,개나리Self주유소,셀프,,"1,559","1,389",
323,서울,양천구,가로공원주유소,,,"1,559","1,389",
324,서울,양천구,형산석유(주)원주유소,,"1,835","1,559","1,389",
325,서울,양천구,삼미상사(주)신월IC셀프주유소,셀프,,"1,554","1,399",
326,서울,양천구,SK에너지(주) 신평,,"1,799","1,559","1,419","1,600"
327,서울,양천구,양천구주유소,셀프,,"1,559","1,427",
328,서울,양천구,신정동주유소,셀프,,"1,597","1,437",
329,서울,양천구,(주)서부트럭터미날,,,"1,619","1,449","1,450"
330,서울,양천구,지에스칼텍스㈜ 건지주유소,셀프,"1,796","1,596","1,466","1,588"
331,서울,양천구,(주)삼표에너지 목동주유소,셀프,"1,795","1,596","1,466",
332,서울,양천구,현대오일뱅크(주)직영 양천현대셀프주유소,셀프,"1,795","1,616","1,486",
333,서울,양천구,현대오일뱅크㈜직영 목동셀프주유소,셀프,,"1,616","1,486",
334,서울,양천구,목동주유소,셀프,,"1,626","1,486",
335,서울,양천구,SK에너지(주) 경인주유소,셀프,,"1,619","1,499","1,600"
336,서울,양천구,현대오일뱅크(주)직영 양정주유소,,,"1,629","1,514",
337,서울,양천구,현대오일뱅크(주)직영 신목동셀프주유소,셀프,"1,968","1,689","1,589",
338,서울,양천구,신양주유소,,,"1,699","1,599","1,690"
339,서울,영등포구,도림주유소,셀프,,"1,545","1,370",
340,서울,영등포구,성락주유소,셀프,,"1,545","1,370",
341,서울,영등포구,영등포제일셀프주유소,셀프,,"1,545","1,370",
342,서울,영등포구,지에스칼텍스㈜ 신길주유소,셀프,"1,745","1,545","1,370","1,450"
343,서울,영등포구,영등포현대셀프주유소,셀프,,"1,545","1,370",
344,서울,영등포구,SK에너지(주) 신길동주유소,,"1,775","1,565","1,389","1,450"
345,서울,영등포구,씨앤에스유통(주) 한일주유소,셀프,"1,838","1,598","1,395",
346,서울,영등포구,HD현대오일뱅크㈜직영 대일셀프주유소,셀프,"1,754","1,574","1,398","1,350"
347,서울,영등포구,한경석유(주)경덕주유소,셀프,"1,745","1,575","1,399",
348,서울,영등포구,(주)대청에너지 대청주유소,셀프,,"1,575","1,399",
349,서울,영등포구,(주)강서오일,셀프,"1,731","1,575","1,399","1,359"
350,서울,영등포구,행촌주유소,셀프,,"1,575","1,399",
