구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2019년09월01일,1159.37,1019.19,989.69,1022.23,1009.56,984.85,1006.52,991.91,936.09,940.45,938.08,936.41,940.69,944.43,962.39,982.39,968.57
2019년09월02일,1160.02,1019.61,989.44,1021.24,1015.10,986.61,1003.94,992.44,936.85,940.39,938.45,936.02,941.11,944.39,963.00,982.47,968.52
2019년09월03일,1157.78,1019.47,989.83,1020.54,1015.78,985.50,1003.33,992.50,936.86,940.63,938.56,936.31,941.19,943.83,962.89,982.60,970.27
2019년09월04일,1157.14,1019.00,990.49,1020.12,1016.16,986.09,1002.79,992.22,936.80,941.13,938.82,937.26,940.88,943.73,964.09,982.61,970.27
2019년09월05일,1156.60,1019.31,990.92,1020.18,1016.45,988.97,1003.26,992.06,936.60,940.96,938.45,937.59,941.21,943.68,963.70,982.61,970.55
2019년09월06일,1158.11,1018.95,990.77,1021.52,1016.01,988.85,1004.17,992.05,936.65,941.13,938.75,938.24,940.77,943.36,963.38,982.64,970.00
2019년09월07일,1157.58,1018.35,990.66,1020.73,1014.55,989.20,1003.74,992.43,936.81,940.40,938.45,938.29,941.01,943.45,963.07,982.85,974.05
2019년09월08일,1156.64,1017.15,992.62,1020.16,1015.13,989.68,1003.70,992.20,936.47,940.34,938.43,937.97,941.03,943.63,963.39,982.90,973.94
2019년09월09일,1159.50,1017.94,993.21,1022.55,1015.04,989.68,1004.15,992.55,936.24,940.88,938.57,938.38,940.84,944.05,963.94,982.99,973.94
2019년09월10일,1162.58,1018.39,992.43,1024.67,1015.30,988.52,1003.79,992.17,935.94,940.93,938.31,938.71,939.55,943.70,964.18,983.28,974.59
2019년09월11일,1166.99,1018.59,992.89,1022.87,1015.61,988.23,1003.67,992.76,935.91,940.78,938.69,938.54,940.08,943.69,964.41,983.50,972.63
2019년09월12일,1166.87,1018.33,992.60,1023.55,1015.16,988.09,1006.02,992.70,936.24,941.80,939.57,937.91,939.50,943.25,964.89,983.57,973.51
2019년09월13일,1167.61,1016.63,993.28,1023.88,1015.75,986.62,1006.58,992.85,935.88,940.68,938.24,937.12,939.82,943.59,965.09,983.50,973.78
2019년09월14일,1165.89,1017.66,995.12,1022.84,1015.74,987.44,1003.23,992.75,935.91,940.12,938.39,937.34,939.94,943.73,964.65,984.01,973.15
2019년09월15일,1158.56,1016.77,994.85,1023.34,1016.32,987.44,1000.51,992.37,935.71,939.91,938.22,936.85,940.10,943.64,964.45,983.91,973.15
2019년09월16일,1160.79,1016.34,996.06,1021.35,1015.63,987.86,1001.90,992.07,935.63,939.86,938.13,936.97,939.68,943.72,964.04,983.45,973.51
