운영기관명,구분,회원가,비회원가
환경부,급속,347.2,347.2
환경부,완속,324.4,324.4
GS차지비,급속,470,335
GS차지비,완속,470,269
GS칼텍스,급속,448,347
LG유플러스 볼트업,급속,350,324
LG유플러스 볼트업,완속,350,270
LG유플러스 볼트업(플러그인),급속,350,324
LG유플러스 볼트업(플러그인),완속,350,270
SK에너지,급속,450.0,347.2
SK에너지,완속,286,286
SK일렉링크,급속,520.0,385.0
SK일렉링크,완속,520.0,288.0
그린전력,급속,347.2,347.2
그린전력,완속,324.4,324.4
두루스코이브이,급속,400,340
두루스코이브이,완속,350,250
레드이엔지,급속,450,347.2
레드이엔지,완속,400,238
보타리에너지,급속,324.4,324.4
보타리에너지,완속,286.7,286.7
서울씨엔지,급속,400,347.2
서울씨엔지,완속,400,258
성민기업,급속,324.4,324.4
성민기업,완속,292.9,240
스타코프,완속,350,215
신세계아이앤씨,급속,380,324
신세계아이앤씨,완속,380,250
씨어스,급속,348,348
씨어스,완속,324,324
아마노코리아,급속,440,340
아마노코리아,완속,440,276
아이마켓코리아,급속,347.2,324.4
아이마켓코리아,완속,240,240
아이온커뮤니케이션즈,완속,360,270
에버온,급속,380,324.4
에버온,완속,380,254
에스에스기전,급속,400,300
에스에스기전,완속,400,280
엘쓰리일렉트릭파워,급속,450,350
엘쓰리일렉트릭파워,완속,450,269
유니이브이,완속,324.4,234
이브이루씨,급속,347.2,312.5
이브이루씨,완속,299,292
이브이시스,급속,440,340
이브이시스,완속,440,250
이앤에이치에너지,급속,370,347
이앤에이치에너지,완속,350,196
이엘일렉트릭,급속,480,320
이엘일렉트릭,완속,480,260
이지차저,급속,450,350
이지차저,완속,450,269
이카플러그,급속,440,340
이카플러그,완속,440,216
일렉트리,급속,347.2,347.2
일렉트리,완속,324.4,324.4
제주전기자동차서비스,급속,480,320
제주전기자동차서비스,완속,480,280
지에스커넥트,급속,347.2,324.4
지에스커넥트,완속,347.2,227
차밥스,급속,347.2,347.2
차밥스,완속,324.4,250
차지인,급속,450.0,312.5
차지인,완속,450.0,292.0
채비,급속,500,385
채비,완속,500,250
쿨사인,급속,347.2,347.2
쿨사인,완속,324.4,324.4
크로커스,급속,380,330
크로커스,완속,360,242
클린일렉스,급속,403.2,308.2
클린일렉스,완속,308.2,243.2
타디스테크놀로지,급속,430,323
타디스테크놀로지,완속,430,242.1
투이스이브이씨,급속,400,300
투이스이브이씨,완속,400,280
파워큐브,급속,344.4,344.4
파워큐브,완속,268,268
파킹클라우드,급속,324.4,324.4
파킹클라우드,완속,324.4,234
플러그링크,완속,304,255
한국전기차솔루션,급속,347.2,347.2
한국전기차솔루션,완속,324.4,324.4
한국전기차인프라기술,급속,380,347.2
한국전기차인프라기술,완속,380,255
한국전기차충전서비스,급속,500,371
한국전기차충전서비스,완속,500,286.7
한국전자금융,급속,350,350
한국전자금융,완속,270,270
한화솔루션,급속,480,320
한화솔루션,완속,270,215
현대엔지니어링,급속,500,368
현대엔지니어링,완속,450,269
홈앤서비스,완속,260,227
휴맥스이브이,급속,480,320
휴맥스이브이,완속,480,280
