번호,충전소명,충전소ID,충전기ID,충전기타입,소재지 도로명 주소,위도,경도,이용가능시간,기관ID,운영기관명,관리업체 전화번호,충전기상태,상태갱신일시,충전기용량,지역코드,주차료무료 여부,충전소 안내
32,조원동 제1공영주차장,ME000036,1,급속,서울특별시 관악구 신림동 571-6,37.481069,126.905703,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125081338,급속(50kW),11,무료,
33,사당역 공영주차장,ME000037,1,-,"서울특별시 서초구 과천대로 950-18, 지상주차장 북주차장(우측)",37.475256,126.982638,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210124100639,급속(50kW),11,무료,
34,이마트 양재점,ME000038,1,-,"서울특별시 서초구 매헌로 16, 지하주차장 2층 Z구역",37.463293,127.036812,09:00~24:00,ME,환경부,1661-9408,사용중,20210123185628,급속(50kW),11,무료,
35,수서역 공영주차장,ME000039,1,-,"서울특별시 강남구 수서동 735, 지상주차장 북주차장(우측)",37.487569,127.101016,24시간 이용가능,ME,환경부,1661-9408,사용불가,20201104112611,급속(50kW),11,무료,
36,학여울역 공영주차장,ME000040,1,-,"서울특별시 강남구 남부순환로 3104, 지하주차장 3층 M418구역",37.496722,127.070444,05:00~익일01:00,ME,환경부,1661-9408,사용불가,20210125102331,급속(50kW),11,무료,
37,개포동공원 공영주차장,ME000042,1,급속,"서울특별시 강남구 개포로 509, 지하주차장 1층 8구역",37.489757,127.068269,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210105132900,급속(50kW),11,무료,
38,탄천제2호 공영주차장,ME000043,1,급속,"서울특별시 강남구 일원동 4-49, 주차장 입구 오른쪽",37.493865,127.08723,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125100300,급속(50kW),11,무료,
39,롯데마트 잠실점,ME000044,1,-,"서울특별시 송파구 올림픽로 240, 지하주차장 1층 M148구역",37.511818,127.096321,10:00~24:00,ME,환경부,1661-9408,사용가능,20210125102334,급속(50kW),11,무료,
40,이마트 명일점,ME000045,1,-,"서울특별시 강동구 고덕로 276, 지하주차장 1층 E구역",37.554606,127.155966,10:00~24:00,ME,환경부,1661-9408,사용가능,20210123112316,급속(50kW),11,무료,
41,홈플러스 영도점,ME000046,1,급속,"부산광역시 영도구 대교로14번길 57, 지상주차장 3층 410구역",35.095906,129.04424,09:00~24:00,ME,환경부,1661-9408,사용가능,20210125014526,급속(50kW),26,무료,
42,온천장역 공영주차장,ME000047,1,급속,"부산광역시 금정구 오시게로 20, 주차장 출구 오른쪽",35.21929,129.08605,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210124223451,급속(50kW),26,무료,
43,이마트 문현점,ME000048,1,-,"부산광역시 남구 전포대로91번길 47, 지상주차장 4층 A구역",35.144356,129.064256,10:00~24:00,ME,환경부,1661-9408,사용가능,20210121202542,급속(50kW),26,무료,
44,하단역 공영주차장,ME000051,1,급속,"부산광역시 사하구 하신중앙로 313, 주차장 출구 오른쪽",35.106166,128.96576,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210124201714,급속(50kW),26,무료,
45,이마트 금정점,ME000052,1,급속,"부산광역시 금정구 중앙대로1841번길 24, 지상주차장 3층 73구역",35.24975906,129.0901501,10:00~24:00,ME,환경부,1661-9408,사용가능,20180810114510,급속(50kW),26,무료,
46,남산역 공영주차장,ME000053,1,급속,"부산광역시 금정구 중앙대로 2030, 주차장 입구 정면",35.265513,129.092746,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125004638,급속(50kW),26,무료,
47,부산환경공단 명지사업소,ME000054,1,급속,"부산광역시 강서구 명지오션시티13로 12-11, 주차장 입구 왼쪽",35.090537,128.898577,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125031303,급속(50kW),26,무료,
48,홈플러스 아시아드점,ME000055,1,-,"부산광역시 연제구 종합운동장로 7, 지하주차장 1층 35구역",35.19104755,129.0625057,09:00~24:00,ME,환경부,1661-9408,사용가능,20210125014709,급속(50kW),26,무료,
49,이마트 연제점,ME000056,1,-,"부산광역시 연제구 연수로 89, 지하주차장 1층 E구역",35.176147,129.081345,10:00~24:00,ME,환경부,1661-9408,사용가능,20210123112232,급속(50kW),26,무료,
50,학장천 공영주차장,ME000058,1,급속,"부산광역시 사상구 가야대로 309, 주차장 입구 정면",35.1485,129.000724,24시간 이용가능,ME,환경부,1661-9408,사용중,20210125102741,급속(50kW),26,무료,
51,장안휴게소(울산방향),ME000059,1,급속,"부산광역시 기장군 장안읍 동해고속도로 26, 휴게소와 LPG충전소 사이",35.3820817,129.248685,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210103171332,급속(50kW),26,무료,
52,장안휴게소(부산방향),ME000060,1,급속,"부산광역시 기장군 장안읍 명례리 835, 휴게소와 LPG충전소 사이",35.3783548,129.2461223,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125100133,급속(50kW),26,무료,
53,기장군청,ME000061,1,급속,부산광역시 기장군 기장읍 기장대로 560,35.2438178,129.222363,-,ME,환경부,1661-9408,사용가능,20210124210603,급속(50kW),26,무료,
54,성명맨션 앞(공중전화부스),ME000063,1,급속,대구광역시 동구 신천3동 146-15,35.8683691,128.6232879,24시간 이용가능,ME,환경부,1661-9408,사용가능,20200926213956,급속(50kW),27,무료,
55,망우당공원 택시쉼터,ME000064,1,급속,대구광역시 동구 효동로2길 93,35.8764164,128.6564477,-,ME,환경부,1661-9408,사용가능,20210125032357,급속(50kW),27,무료,
56,원평치안센터(공중전화부스),ME000065,1,급속,대구광역시 서구 평리3동 729-2,35.8793788,128.561858,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125080214,급속(50kW),27,무료,
57,만평네거리 북편 공영주차장,ME000067,1,급속,대구광역시 북구 팔달로 105,35.8900805,128.562145,-,ME,환경부,1661-9408,사용가능,20210125092709,급속(50kW),27,무료,
58,대구교통연수원,ME000069,1,급속,대구광역시 수성구 무학로 203,35.8302242,128.6304832,-,ME,환경부,1661-9408,사용가능,20210125012916,급속(50kW),27,무료,
59,성서국민체육센터,ME000071,1,급속,대구광역시 달서구 선원로 133,35.8598646,128.5068616,-,ME,환경부,1661-9408,사용가능,20210125000452,급속(50kW),27,무료,
60,홀마트 앞 (공중전화부스),ME000072,1,급속,대구광역시 달성군 논공읍 논공로 749,35.7290522,128.445777,24시간 이용가능,ME,환경부,1661-9408,사용불가,20201025152934,급속(50kW),27,무료,
61,인천공항 정부합동청사,ME000073,1,-,"인천광역시 중구 공항로424번길 47, 정문 주차장",37.440993,126.461521,24시간 이용가능,ME,환경부,1661-9408,사용불가,20201221120707,급속(50kW),28,무료,
62,롯데마트 영종도점,ME000074,1,-,"인천광역시 중구 흰바위로 51, 지상주차장 4층 455구역",37.492675,126.491194,10:00~22:00,ME,환경부,1661-9408,사용가능,20210125092823,급속(50kW),28,무료,
63,차이나타운 주차장,ME000075,1,급속,인천광역시 중구 신포로27번길 80,37.473714,126.621682,-,ME,환경부,1661-9408,사용가능,20210124182344,급속(50kW),28,무료,
64,송림체육관,ME000076,1,급속,인천광역시 동구 염전로 30,37.485283,126.646906,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210124170606,급속(50kW),28,무료,
65,홈플러스 인하점,ME000077,1,-,"인천광역시 남구 소성로 6, 주차장 옥상",37.44396711,127.1410876,09:00~24:00,ME,환경부,1661-9408,사용가능,20210117165945,급속(50kW),28,무료,
66,이마트 연수점,ME000079,1,-,"인천광역시 연수구 경원대로 184, 주차장 옥상",37.44690295,126.6505648,10:00~24:00,ME,환경부,1661-9408,사용가능,20210123165631,급속(50kW),28,무료,
67,홈플러스 구월점,ME000081,1,-,"인천광역시 남동구 예술로 198, 지하주차장 4층 I4구역",37.4047181,126.6819251,09:00~24:00,ME,환경부,1661-9408,사용가능,20210125020520,급속(50kW),28,무료,
68,계양구 공영주차장,ME000082,1,급속,"인천광역시 계양구 봉오대로 679-1, 작전역 2번 출구 100m 앞",37.530611,126.724568,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125084328,급속(50kW),28,무료,
69,인천서구청 제1주차장,ME000084,1,-,"인천광역시 서구 탁옥로51번길 26, 서구청후문 주차타워 지상 1층",37.546063,126.675578,24시간 이용가능,ME,환경부,1661-9408,사용가능,20200718183656,급속(50kW),28,무료,
70,홈플러스 가좌점,ME000085,1,-,"인천광역시 서구 가정로151번길 11, 지하주차장 1층 M0구역",37.497573,126.670692,10:00~24:00,ME,환경부,1661-9408,사용가능,20210121190958,급속(50kW),28,무료,
71,소태역 환승주차장,ME000086,1,급속,"광주광역시 동구 남문로 575, 환승주차장 1층",35.122112,126.932263,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210123153256,급속(50kW),29,무료,
72,광주시청,ME000088,1,급속,"광주광역시 서구 내방로 111, 광주광역시청",35.160317,126.849815,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125004838,급속(50kW),29,무료,
73,송암동주민센터,ME000089,1,급속,"광주광역시 남구 송암로 66, 도로쪽 주차장",35.111648,126.877215,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125094920,급속(50kW),29,무료,
74,광주문화예술회관,ME000090,1,-,"광주광역시 북구 북문대로 60, 광주문화예술회관 지상주차장",35.177718,126.881703,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210122201506,급속(50kW),29,무료,
75,중소기업진흥공단 호남연수원,ME000091,1,급속,"광주광역시 북구 동문대로456번길 40, 주차장 1층",35.203949,126.937339,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210124004800,급속(50kW),29,무료,
76,홈플러스 동대전점,ME000094,1,-,"대전광역시 동구 한밭대로 1282, 지상주차장 5층",36.353803,127.437375,10:00~24:00,ME,환경부,1661-9408,사용불가,20201207070429,급속(50kW),30,무료,
77,대전월드컵경기장,ME000096,1,급속,대전광역시 유성구 월드컵대로 32,36.363604,127.32591,-,ME,환경부,1661-9408,사용가능,20210124234303,급속(50kW),30,무료,
78,울산 중구 동천체육관,ME000098,1,급속,울산광역시 중구 염포로 85동천 체육관 동편 주차장,35.561792,129.352073,-,ME,환경부,1661-9408,사용가능,20210125000510,급속(50kW),31,무료,
79,울산 동구 전하체육센터,ME000100,1,급속,울산광역시 동구 봉수로 285전하체육센터 주차장 입구옆,35.512571,129.422104,-,ME,환경부,1661-9408,사용불가,20201225215511,급속(50kW),31,무료,
80,울산시 북구청,ME000101,1,급속,울산광역시 북구 연암동 산업로 1010 북구청,35.582734,129.360909,-,ME,환경부,1661-9408,사용불가,20210119115522,급속(50kW),31,무료,
81,농소2동 주민센터,ME000102,1,급속,울산광역시 북구 찬샘1길 24,35.638203,129.3480953,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210123161940,급속(50kW),31,무료,
82,울산 울주군 서생면사무소,ME000105,1,급속,울산광역시 울주군 서생면 해맞이로 894서생면사무소 청사 건물 출입구 우측 주차장,35.349902,129.32604,-,ME,환경부,1661-9408,사용가능,20210125000809,급속(50kW),31,무료,
83,홈플러스 동수원점,ME000106,1,-,"경기도 수원시 팔달구 효원로 257, 지하주차장 1층 A01구역",37.45195982,126.7017711,10:00~24:00,ME,환경부,1661-9408,사용가능,20210122220211,급속(50kW),41,무료,
84,이마트 서수원점,ME000107,1,-,"경기도 수원시 권선구 수인로 291, 지하주차장 1층 C12구역",37.282506,126.970137,10:00~24:00,ME,환경부,1661-9408,사용가능,20210123194554,급속(50kW),41,무료,
85,장안구청,ME000108,1,급속,경기도 수원시 장안구 송원로 101,37.304438,127.010121,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125005706,급속(50kW),41,무료,
86,수원화성박물관,ME000109,1,급속,경기도 수원시 팔달구 창룡대로 21,37.2823374,127.019723,-,ME,환경부,1661-9408,사용가능,20210125000455,급속(50kW),41,무료,
87,롯데마트 영통점,ME000110,1,급속,"경기도 수원시 영통구 봉영로 1579, 지하주차장 5층 503구역",37.252726,127.071649,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125024142,급속(50kW),41,무료,
88,이마트 성남점,ME000111,1,-,"경기도 성남시 수정구 수정로 201, 지하주차장 2층 C3구역",37.26286532,127.0296301,10:00~22:00,ME,환경부,1661-9408,사용가능,20210125101326,급속(50kW),41,무료,
89,성남시청,ME000112,1,급속,"경기도 성남시 중원구 성남대로 997, 성남시청 제1주차장",37.420017,127.126649,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125101623,급속(50kW),41,무료,
90,동양컴퓨터학원 앞(공중전화부스),ME000113,1,급속,경기도 성남시 중원구 중앙동 1175,37.4398788,127.1455762,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125000508,급속(50kW),41,무료,
91,율동자연공원 B주차장,ME000114,1,급속,"경기도 성남시 분당구 서현로 459, 율동자연공원 B주차장(서현로방면) 출입구 왼쪽",37.372759,127.147019,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125073815,급속(50kW),41,무료,
92,성남 맛고을 주차장,ME000115,1,급속,경기도 성남시 분당구 야탑로 111번길 12-14,37.411622,127.131772,-,ME,환경부,1661-9408,사용불가,20210125000440,급속(50kW),41,무료,
93,하나로마트 구미점,ME000116,1,급속,경기도 성남시 분당구 성남대로 43번길 11,37.3378677,127.1086182,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125064959,급속(50kW),41,무료,
94,홈플러스 의정부점,ME000117,1,-,"경기도 의정부시 청사로 38, 지상주차장 5층",37.75264066,127.0713202,10:00~23:40,ME,환경부,1661-9408,사용가능,20210122161406,급속(50kW),41,무료,
95,홈플러스 안양점,ME000118,1,-,"경기도 안양시 동안구 엘에스로 92, 지하주차장 2층 D1 구역",37.370042,126.953179,09:00~24:00,ME,환경부,1661-9408,사용가능,20210125092309,급속(50kW),41,무료,
96,안양시청,ME000119,1,급속,경기도 안양시 동안구 관앙동 1590,37.394966,126.957851,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125101128,급속(50kW),41,무료,
97,이마트 중동점,ME000120,1,-,"경기도 부천시 원미구 석천로 188, 지상주차장 2층 D구역 창고 오른쪽",37.50395069,126.7640929,10:00~24:00,ME,환경부,1661-9408,사용가능,20210125095815,급속(50kW),41,무료,
98,비전 공영주차장,ME000121,1,급속,"경기도 평택시 비전동 629-1,주차장 안쪽 끝",36.997061,127.088369,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210101150023,급속(50kW),41,무료,
99,홈플러스 안산점,ME000124,1,-,"경기도 안산시 상록구 충장로 432, 지상주차장 1층 35구역",37.317494,126.850333,10:00~24:00,ME,환경부,1661-9408,사용가능,20210117154938,급속(50kW),41,무료,
100,안산문화예술의전당,ME000125,1,급속,"경기도 안산시 단원구 화랑로 312, 출연자 주차장 P4 (관리동오른쪽)",37.319685,126.822534,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125101837,급속(50kW),41,무료,
101,롯데마트 주엽점,ME000128,1,-,"경기도 고양시 일산서구 중앙로 1496, 지하주차장 2층 210구역",37.673095,126.755524,10:00~24:00,ME,환경부,1661-9408,사용가능,20210125095834,급속(50kW),41,무료,
102,롯데마트 고양점,ME000129,1,-,"경기도 고양시 덕양구 충장로 150, 지상주차장 4층 422구역",37.625167,126.836274,10:00~23:00,ME,환경부,1661-9408,사용불가,20210125075822,급속(50kW),41,무료,
103,고양종합운동장 부설주차장,ME000130,1,급속,"경기도 고양시 일산서구 중앙로 1601, 대형주차장 왼쪽도로변",37.678997,126.741799,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125014505,급속(50kW),41,무료,
104,과천시청,ME000131,1,-,"경기도 과천시 관문로 69, 과천시청",37.428564,126.98823,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210124195702,급속(50kW),41,무료,
105,이마트 도농점,ME000132,1,-,"경기도 남양주시 도농로 24, 지하주차장 2층 L8구역",37.608762,127.159746,10:00~24:00,ME,환경부,1661-9408,사용가능,20210124173451,급속(50kW),41,무료,
106,별내동주민센터,ME000133,1,급속,"경기도 남양주시 별내3로 64-21, 주차장 입구",37.647839,127.127158,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210125063319,급속(50kW),41,무료,
107,롯데마트 마석점,ME000134,1,급속,"경기도 남양주시 화도읍 경춘로 1992, 지상주차장 3층 20구역",37.650216,127.309384,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210120085925,급속(50kW),41,무료,
108,홈플러스 시화점,ME000135,1,-,"경기도 시흥시 희망공원로 269, 지상주차장 1층 A0구역",37.345145,126.725226,10:00~24:00,ME,환경부,1661-9408,사용가능,20210122152407,급속(50kW),41,무료,
109,의왕휴게소(서울방향),ME000136,1,급속,"경기도 의왕시 오전로 24, 하이패스 안내소 뒷편",37.347493,126.985383,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125101118,급속(50kW),41,무료,
110,의왕휴게소(의왕방향),ME000137,1,급속,"경기도 의왕시 오전로 24, 의왕휴게소 건물 오른쪽",37.348306,126.983728,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125010630,급속(50kW),41,무료,
111,이마트 하남점,ME000138,1,-,"경기도 하남시 덕풍서로 70, 지상주차장 5층",37.552817,127.205407,10:00~24:00,ME,환경부,1661-9408,사용가능,20210122183122,급속(50kW),41,무료,
112,서하남휴게소(판교방향),ME000139,1,급속,"경기도 하남시 서울외곽순환고속도로 19, 주차장 플랜카드 앞",37.525901,127.193057,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210104132436,급속(50kW),41,무료,
113,이마트 보라점,ME000140,1,-,"경기도 용인시 기흥구 한보라1로 92, 지상주차장 4층",37.247521,127.105052,10:00~24:00,ME,환경부,1661-9408,사용가능,20210123081853,급속(50kW),41,무료,
114,이마트 죽전점,ME000141,1,-,"경기도 용인시 수지구 포은대로 552, 지상주차장 3층 B01구역",37.32554335,127.1102209,10:00~24:00,ME,환경부,1661-9408,사용가능,20210121191229,급속(50kW),41,무료,
115,홈플러스 파주문산점,ME000143,1,급속,"경기도 파주시 문산읍 방촌로 1759, 옥상주차장 차량정비소 옆",37.869915,126.785434,10:00~22:00,ME,환경부,1661-9408,사용가능,20210125101139,급속(50kW),41,무료,
116,이마트 이천점,ME000145,1,-,"경기도 이천시 이섭대천로 1440-50, 옥상주차장",37.293832,127.459068,10:00~24:00,ME,환경부,1661-9408,사용가능,20210123184513,급속(50kW),41,무료,
117,롯데마트 마장휴게소점(통영방향),ME000146,1,급속,"경기도 이천시 마장면 중부고속도로 82, 지하주차장 100구역",37.264443,127.406284,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125085858,급속(50kW),41,무료,
118,홈플러스 풍무점,ME000153,1,-,"경기도 김포시 풍무로 167, 지상주차장 2층 E-01구역",37.609884,126.724018,09:00~24:00,ME,환경부,1661-9408,사용중,20210125102211,급속(50kW),41,무료,
119,홈플러스 병점점,ME000154,1,-,"경기도 화성시 경기대로 985, 지상주차장 3층 4구역",37.203717,127.03676,10:00~24:00,ME,환경부,1661-9408,사용가능,20210116121150,급속(50kW),41,무료,
120,송산포도휴게소(평택방향),ME000158,1,급속,경기도 화성시 송산면 평택시흥고속도로 25,37.2363191,126.7571394,-,ME,환경부,1661-9408,사용가능,20210125094916,급속(50kW),41,무료,
121,송산포도휴게소(시흥방향),ME000159,1,급속,경기도 화성시 송산면 평택시흥고속도로 25,37.2380223,126.7566458,-,ME,환경부,1661-9408,사용가능,20210125092424,급속(50kW),41,무료,
122,경안동 공영주차장,ME000160,1,급속,"경기도 광주시 경안로 13-6, 주차장 1층 안쪽",37.40939,127.258993,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125095729,급속(50kW),41,무료,
123,연천군청,ME000164,1,급속,경기도 연천군 연천읍 연천로 220,38.09644,127.07484,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210121075339,급속(50kW),41,무료,
124,하나로마트 퇴계점,ME000171,1,-,강원도 춘천시 지석로 11,37.8546007,127.737873,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210124212303,급속(50kW),42,무료,
125,춘천휴게소(부산방향),ME000172,1,급속,강원도 춘천시 동산면 원창리,37.8135838,127.7664419,-,ME,환경부,1661-9408,사용가능,20210125092943,급속(50kW),42,무료,
126,문막휴게소(강릉방향),ME000174,1,급속,"강원도 원주시 문막읍 원문로 1234, 휴게소 좌측",37.3360018,127.8586855,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125085322,급속(50kW),42,무료,
127,치악휴게소(부산방향),ME000175,1,급속,강원도 원주시 신림면 치악로 416,37.2533111,128.0494506,-,ME,환경부,1661-9408,사용가능,20210125004732,급속(50kW),42,무료,
128,치악휴게소(춘천방향),ME000176,1,급속,강원도 원주시 신림면 다리실2길 32,37.2569717,128.0478759,-,ME,환경부,1661-9408,사용가능,20191220115438,급속(50kW),42,무료,
129,강릉시청,ME000177,1,급속,"강원도 강릉시 강릉대로 33, P3 주차장",37.751978,128.875723,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125060846,급속(50kW),42,무료,
