번호,충전소명,충전소ID,충전기ID,충전기타입,소재지 도로명 주소,위도,경도,이용가능시간,기관ID,운영기관명,관리업체 전화번호,충전기상태,상태갱신일시,충전기용량,지역코드,주차료무료 여부,충전소 안내
1,종묘 공영주차장,ME000001,1,-,"서울특별시 종로구 종로 157, 지하주차장 4층 하층 T구역",37.571076,126.99588,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125092335,급속(50kW),11,무료,
2,세종로 공영주차장,ME000002,1,급속,"서울특별시 종로구 세종대로 189, 지하주차장 4층 D구역 계단실 앞",37.573611,126.976011,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210112085004,급속(50kW),11,무료,
3,그랜드앰배서더 서울,ME000003,1,급속,"서울특별시 중구 동호로 287, 대형버스주차장",37.559352,127.00235,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210125083831,급속(50kW),11,무료,
4,한강진역 공영주차장,ME000004,1,-,"서울특별시 용산구 한남동 산10-84, 지상실외주차장",37.540085,127.002804,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210125072342,급속(50kW),11,무료,
5,마장동사무소 앞(공중전화부스),ME000006,1,급속,서울특별시 성동구 마장동 808,37.5660935,127.0455256,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125085901,급속(50kW),11,무료,
6,청량리롯데백화점,ME000007,1,-,"서울특별시 동대문구 왕산로 214, 주차장 옥상",37.58065,127.047938,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210123172351,급속(50kW),11,무료,
7,이마트 이문점,ME000008,1,-,"서울특별시 동대문구 이문로 136, 지하주차장 1층 D-04",37.598454,127.061848,10:00~24:00,ME,환경부,1661-9408,사용가능,20210121135345,급속(50kW),11,무료,
8,홈플러스 면목점,ME000010,1,-,"서울특별시 중랑구 사가정로 332, 지상주차장 4층 406구역",37.580612,127.08154,10:00~24:00,ME,환경부,1661-9408,사용불가,20190826130747,급속(50kW),11,무료,
9,홈플러스 월곡점,ME000011,1,-,"서울특별시 성북구 화랑로 76, 지하주차장 3층 98구역",37.60208293,127.040024,10:00~24:00,ME,환경부,1661-9408,사용가능,20210125014708,급속(50kW),11,무료,
10,성북벤처빌딩 공영주차장,ME000012,1,급속,서울특별시 성북구 장위2동 65-154,37.60936,127.053263,-,ME,환경부,1661-9408,사용가능,20210124103234,급속(50kW),11,무료,
11,롯데마트 삼양점,ME000013,1,-,"서울특별시 강북구 삼양로 247삼양시장, 지상주차장 3층 324구역",37.625405,127.017897,10:00~24:00,ME,환경부,1661-9408,사용가능,20210125021952,급속(50kW),11,무료,
12,빅마켓 도봉점,ME000014,1,-,"서울특별시 도봉구 마들로 645, 지상주차장 4층 406구역",37.667567,127.04549,10:00~22:00,ME,환경부,1661-9408,사용가능,20201222163331,급속(50kW),11,무료,
13,이마트 은평점,ME000016,1,-,"서울특별시 은평구 은평로 111, 지하주차장 4층 A구역",37.60047527,126.9204741,10:00~24:00,ME,환경부,1661-9408,사용가능,20210125034156,급속(50kW),11,무료,
14,구파발역 환승주차장,ME000017,1,-,"서울특별시 은평구 진관동 66-30, 지하주차장 1층 20구역",37.638403,126.919044,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125004602,급속(50kW),11,무료,
15,홈플러스 월드컵점,ME000018,1,-,"서울특별시 마포구 월드컵로 240, 지상주차장 1층",37.566685,126.898753,08:00~24:00,ME,환경부,1661-9408,사용가능,20210125021532,급속(50kW),11,무료,
16,시설관리공단 마포유수지주차장,ME000019,1,-,"서울특별시 마포구 마포대로1길 19, 지상주차장",37.539442,126.943054,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210125024209,급속(50kW),11,무료,
17,노을공원,ME000020,1,급속,"서울특별시 마포구 상암동 482-116, 주차장 입구 정면",37.569588,126.879244,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210125050321,급속(50kW),11,무료,
18,홈플러스 목동점,ME000021,1,-,"서울특별시 양천구 목동서로 170, 지상주차장 2층 01구역",37.52992611,126.8736403,10:00~24:00,ME,환경부,1661-9408,사용불가,20210125072400,급속(50kW),11,무료,
19,해맞이공영주차장,ME000022,1,급속,서울특별시 양천구 지양로 47,37.520062,126.834854,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210124233459,급속(50kW),11,무료,
20,홈플러스 가양점,ME000023,1,-,"서울특별시 강서구 양천로 431, 지하주차장 1층",37.56401856,126.8505957,10:00~24:00,ME,환경부,1661-9408,사용가능,20210123160157,급속(50kW),11,무료,
21,롯데마트 김포공항점,ME000024,1,급속,"서울특별시 강서구 하늘길 77, 지하주차장 1층 A-18구역",37.563453,126.803539,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210107125805,급속(50kW),11,무료,
22,메이필드호텔,ME000025,1,급속,"서울특별시 강서구 방화대로 94, 호텔 정면 주차장",37.546851,126.818613,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125015309,급속(50kW),11,무료,
23,롯데마트 구로점,ME000026,1,-,"서울특별시 구로구 경인로 482, 지상주차장 5층",37.49797486,126.8723453,10:00~24:00,ME,환경부,1661-9408,사용가능,20200128123907,급속(50kW),11,무료,
24,천왕역 환승주차장,ME000027,1,-,"서울특별시 구로구 오류동 174-10, 천왕역 환승주차장 1층",37.487234,126.839153,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210118174517,급속(50kW),11,무료,
25,구로리공원 앞(공중전화부스),ME000028,1,급속,서울특별시 구로구 구로동 136-14,37.4912466,126.8919514,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210125070027,급속(50kW),11,무료,
26,홈플러스 시흥점,ME000029,1,-,"서울특별시 금천구 시흥대로 201, 지상주차장 4층 28구역",37.45222814,126.9009394,10:00~24:00,ME,환경부,1661-9408,사용불가,20190429152954,급속(50kW),11,무료,
27,독산1동 공영주차장,ME000030,1,-,"서울특별시 금천구 범안로12가길 65, 독산1동 공영주차장 옥상",37.464893,126.89479,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125094256,급속(50kW),11,무료,
28,제일모직아울렛 건너편(공중전화부스),ME000031,1,급속,서울특별시 금천구 가산동 239-27,37.4744454,126.8867302,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125102725,급속(50kW),11,무료,
29,영등포구 대신시장(공중전화부스),ME000032,1,급속,서울특별시 영등포구 신길1동 116-15,37.5108,126.9171,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210124014752,급속(50kW),11,무료,
30,현대차 남부서비스센터,ME000034,1,-,"서울특별시 동작구 노량진로 53, 현대자동차 남부서비스센터 본관 후문 주차장",37.514185,126.931894,24시간 이용가능,ME,환경부,1661-9408,사용가능,20210125005004,급속(50kW),11,무료,
31,동작주차공원 공영주차장,ME000035,1,급속,"서울특별시 동작구 현충로 213, 출입구 왼쪽",37.503803,126.976775,24시간 이용가능,ME,환경부,1661-9408,사용불가,20210125022315,급속(50kW),11,무료,
